"EPC","DopplerShift(Hz)","Time","Antenna","TxPower","Frequency(MHz)","RSS(dbm)","PhaseAngle(Radian)","PhaseAngle(Degree)",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.56","1421825261305433","1","0","924.375","-41.5","2.25801971976766","129.375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.88","1421825261330280","1","0","924.375","-41.5","2.28256341237383","130.78125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.50","1421825261363262","1","0","924.375","-41.5","2.27642748922229","130.4296875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.81","1421825261390382","1","0","924.375","-42","5.43029198911517","311.1328125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.81","1421825261414033","1","0","924.375","-42","2.30097118182846","131.8359375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.25","1421825261446031","1","0","924.375","-42","2.33165079758617","133.59375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.25","1421825261466379","1","0","924.375","-42","2.33165079758617","133.59375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.81","1421825261498106","1","0","924.375","-41.5","2.33165079758617","133.59375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.50","1421825261530135","1","0","924.375","-41.5","2.33165079758617","133.59375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.19","1421825261554414","1","0","924.375","-41.5","5.47324345117597","313.59375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.88","1421825261583778","1","0","924.375","-41.5","2.33778672073772","133.9453125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.00","1421825261610281","1","0","924.375","-41.5","2.33778672073772","133.9453125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.50","1421825261644995","1","0","924.375","-41.5","2.33165079758617","133.59375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.13","1421825261664971","1","0","924.375","-41.5","2.30710710498","132.1875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.56","1421825261688762","1","0","924.375","-41.5","2.31324302813155","132.5390625",""
