"EPC","DopplerShift(Hz)","Time","Antenna","TxPower","Frequency(MHz)","RSS(dbm)","PhaseAngle(Radian)","PhaseAngle(Degree)",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.88","1421825220994759","1","0","924.375","-55.5","1.25172832291468","71.71875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.81","1421825221019516","1","0","924.375","-56","1.2394564766116","71.015625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.56","1421825221050958","1","0","924.375","-56","1.24559239976314","71.3671875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.19","1421825221073810","1","0","924.375","-56","1.2394564766116","71.015625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.50","1421825221109574","1","0","924.375","-56","1.2394564766116","71.015625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.88","1421825221128867","1","0","924.375","-56","1.24559239976314","71.3671875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.88","1421825221163898","1","0","924.375","-56","1.22104870715697","69.9609375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.56","1421825221182606","1","0","924.375","-55.5","4.35650543759522","249.609375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.88","1421825221211118","1","0","924.375","-55.5","1.1965050145508","68.5546875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.56","1421825221231354","1","0","924.375","-55.5","1.1965050145508","68.5546875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.19","1421825221265569","1","0","924.375","-55.5","1.17809724509617","67.5",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.25","1421825221288320","1","0","924.375","-55.5","1.20264093770234","68.90625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-0.88","1421825221323879","1","0","924.375","-55.5","1.22104870715697","69.9609375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.25","1421825221343267","1","0","924.375","-55.5","4.33809766814059","248.5546875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.00","1421825221371980","1","0","924.375","-55.5","1.21491278400543","69.609375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.50","1421825221405371","1","0","924.375","-55.5","1.1965050145508","68.5546875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-0.88","1421825221428375","1","0","924.375","-55.5","1.21491278400543","69.609375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.56","1421825221461750","1","0","924.375","-55.5","1.20877686085389","69.2578125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.94","1421825221486864","1","0","924.375","-55.5","1.20264093770234","68.90625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.50","1421825221517313","1","0","924.375","-55.5","1.23332055346006","70.6640625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.50","1421825221549441","1","0","924.375","-56","1.25786424606623","72.0703125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-0.25","1421825221572122","1","0","924.375","-56","1.2824079386724","73.4765625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.13","1421825221599544","1","0","924.375","-56","4.36877728389831","250.3125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.56","1421825221628831","1","0","924.375","-56","1.24559239976314","71.3671875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.56","1421825221662369","1","0","924.375","-56","1.21491278400543","69.609375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.56","1421825221678251","1","0","924.375","-56","1.2394564766116","71.015625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.25","1421825221713135","1","0","924.375","-56","1.23332055346006","70.6640625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.88","1421825221735373","1","0","924.375","-56","1.21491278400543","69.609375",""
