"EPC","DopplerShift(Hz)","Time","Antenna","TxPower","Frequency(MHz)","RSS(dbm)","PhaseAngle(Radian)","PhaseAngle(Degree)",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.56","1421826192386988","1","0","924.375","-67","6.09297168948177","349.1015625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.56","1421826192423827","1","0","924.375","-67","6.13592315154256","351.5625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.25","1421826192443039","1","0","924.375","-67","6.06229207372405","347.34375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-0.56","1421826192475942","1","0","924.375","-67","6.11751538208794","350.5078125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.25","1421826192502278","1","0","924.375","-67","6.09910761263331","349.453125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","3.81","1421826192528819","1","0","924.375","-67","6.05002022742097","346.640625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-0.88","1421826192552423","1","0","924.375","-67","6.08683576633022","348.75",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-1.94","1421826192595557","1","0","924.375","-67","2.97592272849814","170.5078125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.88","1421826192622010","1","0","924.375","-67","6.09910761263331","349.453125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.56","1421826192649973","1","0","924.375","-67","6.09910761263331","349.453125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.56","1421826192672895","1","0","924.375","-67","6.11137945893639","350.15625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.88","1421826192713263","1","0","924.375","-67","6.08069984317868","348.3984375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-1.19","1421826192731868","1","0","924.375","-67","6.12978722839102","351.2109375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-0.56","1421826192775638","1","0","924.375","-67","6.09297168948177","349.1015625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-3.19","1421826192797105","1","0","924.375","-67","3.01887419055894","172.96875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-2.56","1421826192852051","1","0","924.375","-67","6.08069984317868","348.3984375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-2.88","1421826192870165","1","0","924.375","-67","6.09910761263331","349.453125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-1.31","1421826192904149","1","0","924.375","-67","2.95751495904352","169.453125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-2.88","1421826192933883","1","0","924.375","-67","6.14205907469411","351.9140625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.25","1421826192956949","1","0","924.375","-67","5.99479691905709","343.4765625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.19","1421826192983949","1","0","924.375","-67","6.08069984317868","348.3984375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","4.06","1421826193023699","1","0","924.375","-67","6.0684279968756","347.6953125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.81","1421826193043796","1","0","924.375","-67","6.05615615057251","346.9921875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-2.44","1421826193073201","1","0","924.375","-67","6.12365130523948","350.859375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-0.56","1421826193103266","1","0","924.375","-67","6.09910761263331","349.453125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-0.88","1421826193141611","1","0","924.375","-67","6.06229207372405","347.34375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.25","1421826193160345","1","0","924.375","-67","6.05615615057251","346.9921875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.81","1421826193192814","1","0","924.375","-67","6.06229207372405","347.34375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.56","1421826193222130","1","0","924.375","-67","6.0684279968756","347.6953125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-0.56","1421826193253410","1","0","924.375","-67","6.13592315154256","351.5625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.19","1421826193277013","1","0","924.375","-67","6.07456392002714","348.046875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.81","1421826193332366","1","0","924.375","-67.5","6.08683576633022","348.75",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-8.06","1421826193351150","1","0","924.375","-67","3.03728196001357","174.0234375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.44","1421826193389535","1","0","924.375","-67.5","6.05615615057251","346.9921875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.00","1421826193408024","1","0","924.375","-67","6.08683576633022","348.75",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.56","1421826193434058","1","0","924.375","-67","6.08069984317868","348.3984375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.94","1421826193459461","1","0","924.375","-67","6.0254765348148","345.234375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","4.56","1421826193498176","1","0","924.375","-67","5.97638914960246","342.421875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.25","1421826193515932","1","0","924.375","-67","6.0684279968756","347.6953125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-1.63","1421826193582487","1","0","924.375","-67","6.08683576633022","348.75",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.00","1421826193602439","1","0","924.375","-67","6.08683576633022","348.75",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.88","1421826193626993","1","0","924.375","-67.5","6.11751538208794","350.5078125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-3.50","1421826193653405","1","0","924.375","-67","6.11137945893639","350.15625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.81","1421826193691595","1","0","924.375","-67.5","6.05002022742097","346.640625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","3.50","1421826193710157","1","0","924.375","-67","6.09297168948177","349.1015625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-3.81","1421826193735552","1","0","924.375","-67","6.10524353578485","349.8046875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.63","1421826193765822","1","0","924.375","-67","6.11137945893639","350.15625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-1.81","1421826193818154","1","0","924.375","-67","6.11137945893639","350.15625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-2.56","1421826193840845","1","0","924.375","-67","6.11137945893639","350.15625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.13","1421826193876486","1","0","924.375","-67.5","6.03774838111788","345.9375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.25","1421826193905520","1","0","924.375","-67","6.09297168948177","349.1015625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.44","1421826193935583","1","0","924.375","-67","6.11751538208794","350.5078125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.81","1421826193962627","1","0","924.375","-67","6.00093284220863","343.828125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.50","1421826194003675","1","0","924.375","-67.5","6.08683576633022","348.75",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.88","1421826194027837","1","0","924.375","-67","6.07456392002714","348.046875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.25","1421826194079450","1","0","924.375","-67","6.08683576633022","348.75",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.25","1421826194098219","1","0","924.375","-67","6.07456392002714","348.046875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.88","1421826194127810","1","0","924.375","-67","6.05615615057251","346.9921875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","4.69","1421826194150806","1","0","924.375","-67","6.07456392002714","348.046875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.50","1421826194182823","1","0","924.375","-67","6.09910761263331","349.453125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.50","1421826194205613","1","0","924.375","-67","6.08069984317868","348.3984375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-2.88","1421826194232370","1","0","924.375","-67","6.11137945893639","350.15625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.00","1421826194270777","1","0","924.375","-67.5","6.10524353578485","349.8046875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.56","1421826194307991","1","0","924.375","-67","6.08683576633022","348.75",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-1.94","1421826194332744","1","0","924.375","-67","6.10524353578485","349.8046875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.63","1421826194361341","1","0","924.375","-67","6.10524353578485","349.8046875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.00","1421826194389159","1","0","924.375","-67","6.11751538208794","350.5078125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","4.06","1421826194419855","1","0","924.375","-67","6.05002022742097","346.640625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","4.06","1421826194439287","1","0","924.375","-67","6.06229207372405","347.34375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","4.56","1421826194478873","1","0","924.375","-67","6.03161245796634","345.5859375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.00","1421826194504722","1","0","924.375","-67","6.11137945893639","350.15625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.56","1421826194537431","1","0","924.375","-67","6.09910761263331","349.453125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.00","1421826194560464","1","0","924.375","-67","2.91456349698272","166.9921875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","3.19","1421826194591094","1","0","924.375","-67","6.04388430426943","346.2890625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-2.25","1421826194613801","1","0","924.375","-67","2.9268353432858","167.6953125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.25","1421826194654329","1","0","924.375","-67","6.05002022742097","346.640625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-2.44","1421826194682251","1","0","924.375","-67","6.13592315154256","351.5625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.63","1421826194719158","1","0","924.375","-67","2.91456349698272","166.9921875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-1.81","1421826194742031","1","0","924.375","-67","6.10524353578485","349.8046875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.25","1421826194761554","1","0","924.375","-67","6.06229207372405","347.34375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.25","1421826194790525","1","0","924.375","-67","6.03161245796634","345.5859375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.31","1421826194828238","1","0","924.375","-67","2.89001980437655","165.5859375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-2.44","1421826194858166","1","0","924.375","-67","6.12978722839102","351.2109375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.56","1421826194879949","1","0","924.375","-67","6.07456392002714","348.046875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-1.63","1421826194915015","1","0","924.375","-67","6.11751538208794","350.5078125",""
