"EPC","DopplerShift(Hz)","Time","Antenna","TxPower","Frequency(MHz)","RSS(dbm)","PhaseAngle(Radian)","PhaseAngle(Degree)",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.31","1421825996074010","1","0","924.375","-66","2.94524311274043","168.75",""
"ABAB ABAB ABAB ABAB ABAB E0C4","3.50","1421825996102367","1","0","924.375","-66.5","6.08683576633022","348.75",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-0.88","1421825996143659","1","0","924.375","-66","6.15433092099719","352.6171875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","3.50","1421825996164418","1","0","924.375","-66","2.9697868053466","170.15625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-1.94","1421825996210817","1","0","924.375","-66","6.17887461360336","354.0234375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-2.13","1421825996224097","1","0","924.375","-66","6.11751538208794","350.5078125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.25","1421825996258707","1","0","924.375","-66","6.05615615057251","346.9921875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.50","1421825996283299","1","0","924.375","-66","6.04388430426943","346.2890625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.19","1421825996348571","1","0","924.375","-66","6.08069984317868","348.3984375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.88","1421825996372266","1","0","924.375","-66","6.07456392002714","348.046875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.44","1421825996403615","1","0","924.375","-66","6.04388430426943","346.2890625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.81","1421825996417746","1","0","924.375","-66","6.09910761263331","349.453125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.13","1421825996471381","1","0","924.375","-66","6.05615615057251","346.9921875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.56","1421825996490002","1","0","924.375","-66","6.01320468851171","344.53125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.25","1421825996536512","1","0","924.375","-66","2.90842757383118","166.640625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.88","1421825996561390","1","0","924.375","-66","6.07456392002714","348.046875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.00","1421825996606767","1","0","924.375","-66","6.10524353578485","349.8046875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","3.94","1421825996638700","1","0","924.375","-66","6.08683576633022","348.75",""
"ABAB ABAB ABAB ABAB ABAB E0C4","3.19","1421825996667128","1","0","924.375","-65.5","6.09910761263331","349.453125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.19","1421825996694915","1","0","924.375","-65.5","6.14205907469411","351.9140625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.56","1421825996724804","1","0","924.375","-65.5","6.14819499784565","352.265625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-0.88","1421825996750477","1","0","924.375","-66","6.14819499784565","352.265625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.56","1421825996782396","1","0","924.375","-65.5","6.13592315154256","351.5625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.88","1421825996809314","1","0","924.375","-66","6.14819499784565","352.265625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.13","1421825996844002","1","0","924.375","-66","6.12978722839102","351.2109375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-0.25","1421825996862067","1","0","924.375","-66","6.16046684414874","352.96875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.00","1421825996898823","1","0","924.375","-66","6.16046684414874","352.96875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.19","1421825996917725","1","0","924.375","-66","6.14819499784565","352.265625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.94","1421825996950139","1","0","924.375","-66","6.16046684414874","352.96875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-0.25","1421825996980069","1","0","924.375","-66","6.17273869045182","353.671875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-3.81","1421825997002991","1","0","924.375","-66","6.2279619988157","356.8359375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.25","1421825997030141","1","0","924.375","-66","6.18501053675491","354.375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-1.81","1421825997072511","1","0","924.375","-66","6.20341830620953","355.4296875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.19","1421825997095459","1","0","924.375","-66","6.20341830620953","355.4296875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.13","1421825997119894","1","0","924.375","-66","6.19114645990645","354.7265625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.25","1421825997148458","1","0","924.375","-66","6.18501053675491","354.375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.94","1421825997174969","1","0","924.375","-66","6.19114645990645","354.7265625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-1.81","1421825997202652","1","0","924.375","-66","6.19114645990645","354.7265625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-1.19","1421825997235648","1","0","924.375","-65.5","6.21569015251262","356.1328125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.50","1421825997255861","1","0","924.375","-66","6.19114645990645","354.7265625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.88","1421825997290671","1","0","924.375","-66","6.25250569142187","358.2421875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.50","1421825997315061","1","0","924.375","-66","6.2279619988157","356.8359375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.56","1421825997364484","1","0","924.375","-66","6.23409792196725","357.1875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.88","1421825997382996","1","0","924.375","-66","6.20955422936108","355.78125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.56","1421825997417033","1","0","924.375","-66","6.24023384511879","357.5390625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-0.56","1421825997446209","1","0","924.375","-66","6.22182607566416","356.484375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.00","1421825997466618","1","0","924.375","-66","6.25250569142187","358.2421875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-0.56","1421825997492663","1","0","924.375","-66","6.26477753772496","358.9453125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.00","1421825997524005","1","0","924.375","-66","0.0122718463030851","0.703125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.81","1421825997553177","1","0","924.375","-66","6.27704938402804","359.6484375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-0.88","1421825997596981","1","0","924.375","-66.5","0.0184077694546277","1.0546875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","3.19","1421825997613511","1","0","924.375","-66.5","3.16000042304442","181.0546875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.94","1421825997653075","1","0","924.375","-66.5","0.00613592315154256","0.3515625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","3.50","1421825997671654","1","0","924.375","-66.5","0","0",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-1.94","1421825997703612","1","0","924.375","-66.5","0.0736310778185108","4.21875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.25","1421825997726516","1","0","924.375","-66.5","0.0184077694546277","1.0546875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-0.88","1421825997767911","1","0","924.375","-66.5","0.0920388472731385","5.2734375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","3.50","1421825997795695","1","0","924.375","-66.5","0.0306796157577128","1.7578125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","5.44","1421825997833413","1","0","924.375","-66.5","0.0306796157577128","1.7578125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-0.25","1421825997847360","1","0","924.375","-66.5","0.0674951546669682","3.8671875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.56","1421825997889734","1","0","924.375","-66.5","0.0613592315154256","3.515625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-1.94","1421825997911705","1","0","924.375","-66.5","0.116582539879309","6.6796875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.50","1421825997949956","1","0","924.375","-67","0.0920388472731385","5.2734375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.00","1421825997970558","1","0","924.375","-66.5","0.128854386182394","7.3828125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.56","1421825998007038","1","0","924.375","-67","0.104310693576224","5.9765625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.25","1421825998038853","1","0","924.375","-67","0.159534001940107","9.140625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-2.25","1421825998060630","1","0","924.375","-67","0.171805848243192","9.84375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-0.25","1421825998097354","1","0","924.375","-67","0.165669925091649","9.4921875",""
