"EPC","DopplerShift(Hz)","Time","Antenna","TxPower","Frequency(MHz)","RSS(dbm)","PhaseAngle(Radian)","PhaseAngle(Degree)",""
"ABAB ABAB ABAB ABAB ABAB 0009","2.88","1421824578556096","1","0","924.375","-68.5","0.0797670009700533","4.5703125",""
"ABAB ABAB ABAB ABAB ABAB 0008","1.81","1421824578560062","1","0","924.375","-64.5","6.14819499784565","352.265625",""
"ABAB ABAB ABAB ABAB ABAB 0001","2.13","1421824578564908","1","0","924.375","-53.5","5.28916575662969","303.046875",""
"ABAB ABAB ABAB ABAB ABAB 0003","2.13","1421824578568246","1","0","924.375","-64","6.09297168948177","349.1015625",""
"ABAB ABAB ABAB ABAB ABAB 0004","0.56","1421824578572932","1","0","924.375","-61","5.00077736850719","286.5234375",""
"ABAB ABAB ABAB ABAB ABAB 0007","2.88","1421824578576851","1","0","924.375","-65.5","1.94508763903899","111.4453125",""
"ABAB ABAB ABAB ABAB ABAB 0006","1.50","1421824578581507","1","0","924.375","-61","1.42967009430942","81.9140625",""
"ABAB ABAB ABAB ABAB ABAB 0005","2.13","1421824578588101","1","0","924.375","-60.5","1.44807786376405","82.96875",""
"ABAB ABAB ABAB ABAB ABAB 0002","0.56","1421824578593559","1","0","924.375","-63","5.66959299202533","324.84375",""
"ABAB ABAB ABAB ABAB ABAB 0008","-0.56","1421824578608455","1","0","924.375","-64.5","6.19114645990645","354.7265625",""
"ABAB ABAB ABAB ABAB ABAB 0004","1.31","1421824578611712","1","0","924.375","-61","4.96396182959793","284.4140625",""
"ABAB ABAB ABAB ABAB ABAB 0006","2.13","1421824578615740","1","0","924.375","-61","4.5405831321415","260.15625",""
"ABAB ABAB ABAB ABAB ABAB 0007","0.25","1421824578620447","1","0","924.375","-65.5","5.11122398523496","292.8515625",""
"ABAB ABAB ABAB ABAB ABAB 0002","-0.25","1421824578623802","1","0","924.375","-63","5.70027260778304","326.6015625",""
"ABAB ABAB ABAB ABAB ABAB 0005","2.88","1421824578629774","1","0","924.375","-60.5","1.45421378691559","83.3203125",""
"ABAB ABAB ABAB ABAB ABAB 0009","-0.25","1421824578634436","1","0","924.375","-68.5","0.165669925091649","9.4921875",""
"ABAB ABAB ABAB ABAB ABAB 0001","2.44","1421824578639900","1","0","924.375","-53.5","5.31370944923586","304.453125",""
"ABAB ABAB ABAB ABAB ABAB 0003","-0.25","1421824578656003","1","0","924.375","-64","6.13592315154256","351.5625",""
"ABAB ABAB ABAB ABAB ABAB 0009","-1.19","1421824578678151","1","0","924.375","-68.5","0.116582539879309","6.6796875",""
"ABAB ABAB ABAB ABAB ABAB 0005","3.81","1421824578682119","1","0","924.375","-60.5","1.42353417115788","81.5625",""
"ABAB ABAB ABAB ABAB ABAB 0008","-0.88","1421824578688044","1","0","924.375","-64.5","6.18501053675491","354.375",""
"ABAB ABAB ABAB ABAB ABAB 0002","0.88","1421824578693299","1","0","924.375","-63","5.6941366846315","326.25",""
