"EPC","DopplerShift(Hz)","Time","Antenna","TxPower","Frequency(MHz)","RSS(dbm)","PhaseAngle(Radian)","PhaseAngle(Degree)",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-0.25","1421825049664832","1","0","924.375","-60","3.79813643080485","217.6171875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.88","1421825049690984","1","0","924.375","-60","3.78586458450176","216.9140625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.88","1421825049727429","1","0","924.375","-60","3.77972866135022","216.5625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.19","1421825049753162","1","0","924.375","-60","0.619728238305799","35.5078125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.50","1421825049778139","1","0","924.375","-60","3.76132089189559","215.5078125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.88","1421825049807956","1","0","924.375","-60","3.77359273819868","216.2109375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.88","1421825049845014","1","0","924.375","-60.5","3.76132089189559","215.5078125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.00","1421825049870111","1","0","924.375","-60","3.78586458450176","216.9140625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.81","1421825049898790","1","0","924.375","-60","0.589048622548086","33.75",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.50","1421825049930181","1","0","924.375","-60","3.78586458450176","216.9140625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.50","1421825049954532","1","0","924.375","-60","3.76745681504713","215.859375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-0.25","1421825049980941","1","0","924.375","-60","3.79200050765331","217.265625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.00","1421825050010915","1","0","924.375","-60","3.79200050765331","217.265625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.50","1421825050035943","1","0","924.375","-60","3.77972866135022","216.5625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.56","1421825050067339","1","0","924.375","-60","0.625864161457342","35.859375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.25","1421825050082828","1","0","924.375","-60","3.77359273819868","216.2109375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.88","1421825050119549","1","0","924.375","-60.5","3.77359273819868","216.2109375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.56","1421825050148245","1","0","924.375","-60","3.78586458450176","216.9140625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.13","1421825050179538","1","0","924.375","-60","3.77972866135022","216.5625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-1.19","1421825050200296","1","0","924.375","-60","3.79813643080485","217.6171875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.13","1421825050232552","1","0","924.375","-60","3.75518496874405","215.15625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.19","1421825050255400","1","0","924.375","-60","3.78586458450176","216.9140625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.88","1421825050284131","1","0","924.375","-60.5","0.601320468851171","34.453125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.44","1421825050304897","1","0","924.375","-60.5","3.77972866135022","216.5625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.88","1421825050345998","1","0","924.375","-60.5","3.77972866135022","216.5625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.81","1421825050364573","1","0","924.375","-60","3.77359273819868","216.2109375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.88","1421825050400088","1","0","924.375","-60.5","3.80427235395639","217.96875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-0.56","1421825050423709","1","0","924.375","-60","0.650407854063512","37.265625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.25","1421825050448409","1","0","924.375","-60.5","3.79200050765331","217.265625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.56","1421825050476177","1","0","924.375","-60","3.78586458450176","216.9140625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.44","1421825050514041","1","0","924.375","-60","3.77359273819868","216.2109375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.88","1421825050534744","1","0","924.375","-60","3.74291312244096","214.453125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-0.56","1421825050562012","1","0","924.375","-60.5","3.80427235395639","217.96875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.81","1421825050589008","1","0","924.375","-60.5","3.77972866135022","216.5625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-0.88","1421825050622370","1","0","924.375","-60","3.80427235395639","217.96875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.50","1421825050643324","1","0","924.375","-60","0.638136007760427","36.5625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.88","1421825050669897","1","0","924.375","-60","3.77972866135022","216.5625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.44","1421825050699073","1","0","924.375","-60","3.76745681504713","215.859375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","-0.25","1421825050733727","1","0","924.375","-60.5","3.79813643080485","217.6171875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.56","1421825050750501","1","0","924.375","-60","3.80427235395639","217.96875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.56","1421825050781068","1","0","924.375","-60.5","3.77359273819868","216.2109375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.25","1421825050812299","1","0","924.375","-60.5","3.76132089189559","215.5078125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.56","1421825050833450","1","0","924.375","-60","3.76132089189559","215.5078125",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.88","1421825050868723","1","0","924.375","-60","3.79813643080485","217.6171875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.50","1421825050897920","1","0","924.375","-60","0.607456392002714","34.8046875",""
"ABAB ABAB ABAB ABAB ABAB E0C4","3.19","1421825050912800","1","0","924.375","-60.5","0.589048622548086","33.75",""
"ABAB ABAB ABAB ABAB ABAB E0C4","1.50","1421825050951695","1","0","924.375","-60","3.77359273819868","216.2109375",""
"ABAB ABAB ABAB ABAB ABAB E0C4","2.56","1421825050976685","1","0","924.375","-60","0.595184545699629","34.1015625",""
"ABAB ABAB ABAB ABAB ABAB E0C4","0.00","1421825051020049","1","0","924.375","-60","3.79200050765331","217.265625",""
