"EPC","DopplerShift(Hz)","Time","Antenna","TxPower","Frequency(MHz)","RSS(dbm)","PhaseAngle(Radian)","PhaseAngle(Degree)",""
"ABAB ABAB ABAB ABAB ABAB 0006","1.19","1422428370798079","1","0","924.375","-56","6.25864161457342","358.59375",""
"ABAB ABAB ABAB ABAB ABAB 0004","2.13","1422428370802744","1","0","924.375","-52.5","5.41802014281208","310.4296875",""
"ABAB ABAB ABAB ABAB ABAB 0005","1.81","1422428370810110","1","0","924.375","-52.5","4.66943751832389","267.5390625",""
"ABAB ABAB ABAB ABAB ABAB 0007","1.19","1422428370814925","1","0","924.375","-56.5","6.09297168948177","349.1015625",""
"ABAB ABAB ABAB ABAB ABAB 0007","1.19","1422428370834611","1","0","924.375","-56.5","6.08683576633022","348.75",""
"ABAB ABAB ABAB ABAB ABAB 0004","2.13","1422428370841532","1","0","924.375","-52.5","5.43029198911517","311.1328125",""
"ABAB ABAB ABAB ABAB ABAB 0005","1.50","1422428370846210","1","0","924.375","-52.5","4.68170936462698","268.2421875",""
"ABAB ABAB ABAB ABAB ABAB 0006","1.81","1422428370850456","1","0","924.375","-56.5","0","0",""
"ABAB ABAB ABAB ABAB ABAB 0005","1.19","1422428370877264","1","0","924.375","-52.5","4.67557344147543","267.890625",""
"ABAB ABAB ABAB ABAB ABAB 0004","2.88","1422428370883334","1","0","924.375","-52.5","5.42415606596363","310.78125",""
"ABAB ABAB ABAB ABAB ABAB 0006","1.50","1422428370886686","1","0","924.375","-56","6.2709134608765","359.296875",""
"ABAB ABAB ABAB ABAB ABAB 0007","2.13","1422428370890236","1","0","924.375","-56.5","6.07456392002714","348.046875",""
"ABAB ABAB ABAB ABAB ABAB 0006","0.56","1422428370905755","1","0","924.375","-56","6.25864161457342","358.59375",""
"ABAB ABAB ABAB ABAB ABAB 0005","1.81","1422428370913277","1","0","924.375","-52.5","4.67557344147543","267.890625",""
"ABAB ABAB ABAB ABAB ABAB 0007","2.13","1422428370918168","1","0","924.375","-56.5","6.09297168948177","349.1015625",""
"ABAB ABAB ABAB ABAB ABAB 0004","2.88","1422428370922139","1","0","924.375","-52.5","5.41802014281208","310.4296875",""
"ABAB ABAB ABAB ABAB ABAB 0005","2.13","1422428370944014","1","0","924.375","-52.5","4.66330159517235","267.1875",""
"ABAB ABAB ABAB ABAB ABAB 0004","1.81","1422428370949546","1","0","924.375","-52.5","5.42415606596363","310.78125",""
"ABAB ABAB ABAB ABAB ABAB 0006","3.19","1422428370957816","1","0","924.375","-56","6.25250569142187","358.2421875",""
"ABAB ABAB ABAB ABAB ABAB 0007","1.81","1422428370962503","1","0","924.375","-56.5","6.07456392002714","348.046875",""
