"EPC","DopplerShift(Hz)","Time","Antenna","TxPower","Frequency(MHz)","RSS(dbm)","PhaseAngle(Radian)","PhaseAngle(Degree)",""
"ABAB ABAB ABAB ABAB ABAB 0009","2.13","1422431330044509","1","0","924.375","-58.5","5.83526291711698","334.3359375",""
"ABAB ABAB ABAB ABAB ABAB 0012","0.88","1422431330055925","1","0","924.375","-60.5","6.25250569142187","358.2421875",""
"ABAB ABAB ABAB ABAB ABAB 0011","1.81","1422431330075607","1","0","924.375","-54.5","0.0368155389092554","2.109375",""
"ABAB ABAB ABAB ABAB ABAB 0008","1.19","1422431330078976","1","0","924.375","-50.5","4.65102974886926","266.484375",""
"ABAB ABAB ABAB ABAB ABAB 0006","3.19","1422431330083695","1","0","924.375","-58.5","1.17196132194463","67.1484375",""
"ABAB ABAB ABAB ABAB ABAB 0004","1.19","1422431330089011","1","0","924.375","-66","4.89646667493097","280.546875",""
"ABAB ABAB ABAB ABAB ABAB 0012","2.88","1422431330092348","1","0","924.375","-61","6.24023384511879","357.5390625",""
"ABAB ABAB ABAB ABAB ABAB 0007","1.81","1422431330096341","1","0","924.375","-54.5","4.04970928001809","232.03125",""
"ABAB ABAB ABAB ABAB ABAB 0005","2.13","1422431330101928","1","0","924.375","-59.5","5.51619491323677","316.0546875",""
"ABAB ABAB ABAB ABAB ABAB 0010","2.13","1422431330105195","1","0","924.375","-56","5.51619491323677","316.0546875",""
"ABAB ABAB ABAB ABAB ABAB 0009","4.06","1422431330109846","1","0","924.375","-58.5","5.84753476342006","335.0390625",""
"ABAB ABAB ABAB ABAB ABAB 0011","3.50","1422431330135258","1","0","924.375","-54.5","6.27704938402804","359.6484375",""
"ABAB ABAB ABAB ABAB ABAB 0009","1.50","1422431330139905","1","0","924.375","-58.5","5.85980660972315","335.7421875",""
"ABAB ABAB ABAB ABAB ABAB 0010","1.50","1422431330143213","1","0","924.375","-56","5.52846675953985","316.7578125",""
"ABAB ABAB ABAB ABAB ABAB 0006","1.50","1422431330146583","1","0","924.375","-58.5","1.17809724509617","67.5",""
"ABAB ABAB ABAB ABAB ABAB 0008","0.88","1422431330156697","1","0","924.375","-50.5","4.63875790256618","265.78125",""
"ABAB ABAB ABAB ABAB ABAB 0007","0.25","1422431330160005","1","0","924.375","-54.5","0.914252549579842","52.3828125",""
"ABAB ABAB ABAB ABAB ABAB 0004","4.38","1422431330164667","1","0","924.375","-66","1.68737886667421","96.6796875",""
"ABAB ABAB ABAB ABAB ABAB 0012","2.88","1422431330171495","1","0","924.375","-61","6.20341830620953","355.4296875",""
"ABAB ABAB ABAB ABAB ABAB 0005","3.81","1422431330179129","1","0","924.375","-59.5","2.34392264388926","134.296875",""
"ABAB ABAB ABAB ABAB ABAB 0005","3.50","1422431330190452","1","0","924.375","-59.5","2.36233041334389","135.3515625",""
"ABAB ABAB ABAB ABAB ABAB 0011","2.56","1422431330193747","1","0","924.375","-54.5","0.00613592315154256","0.3515625",""
"ABAB ABAB ABAB ABAB ABAB 0008","1.81","1422431330197136","1","0","924.375","-50.5","4.63262197941464","265.4296875",""
"ABAB ABAB ABAB ABAB ABAB 0010","1.50","1422431330200484","1","0","924.375","-56","5.53460268269139","317.109375",""
"ABAB ABAB ABAB ABAB ABAB 0007","0.88","1422431330207734","1","0","924.375","-54.5","4.04357335686655","231.6796875",""
"ABAB ABAB ABAB ABAB ABAB 0004","-0.25","1422431330214897","1","0","924.375","-66","4.87805890547634","279.4921875",""
"ABAB ABAB ABAB ABAB ABAB 0006","1.19","1422431330221439","1","0","924.375","-58.5","1.17809724509617","67.5",""
"ABAB ABAB ABAB ABAB ABAB 0012","1.19","1422431330226808","1","0","924.375","-61","6.22182607566416","356.484375",""
"ABAB ABAB ABAB ABAB ABAB 0009","3.50","1422431330230838","1","0","924.375","-58.5","5.84753476342006","335.0390625",""
"ABAB ABAB ABAB ABAB ABAB 0007","0.88","1422431330261044","1","0","924.375","-54.5","0.901980703276757","51.6796875",""
"ABAB ABAB ABAB ABAB ABAB 0012","3.19","1422431330265636","1","0","924.375","-61","6.19114645990645","354.7265625",""
"ABAB ABAB ABAB ABAB ABAB 0011","2.56","1422431330269717","1","0","924.375","-54.5","6.27704938402804","359.6484375",""
"ABAB ABAB ABAB ABAB ABAB 0004","0.88","1422431330277214","1","0","924.375","-66","4.8719229823248","279.140625",""
"ABAB ABAB ABAB ABAB ABAB 0008","1.81","1422431330284208","1","0","924.375","-50.5","4.62035013311155","264.7265625",""
"ABAB ABAB ABAB ABAB ABAB 0005","2.56","1422431330287743","1","0","924.375","-59.5","2.37460225964697","136.0546875",""
"ABAB ABAB ABAB ABAB ABAB 0010","1.19","1422431330291030","1","0","924.375","-56","5.51005899008522","315.703125",""
"ABAB ABAB ABAB ABAB ABAB 0009","1.50","1422431330294429","1","0","924.375","-58.5","5.87207845602623","336.4453125",""
"ABAB ABAB ABAB ABAB ABAB 0006","2.13","1422431330297799","1","0","924.375","-59","1.14128170618692","65.390625",""
"ABAB ABAB ABAB ABAB ABAB 0009","0.00","1422431330311308","1","0","924.375","-58.5","5.87821437917778","336.796875",""
"ABAB ABAB ABAB ABAB ABAB 0012","1.19","1422431330314609","1","0","924.375","-61","6.2279619988157","356.8359375",""
"ABAB ABAB ABAB ABAB ABAB 0006","2.56","1422431330317900","1","0","924.375","-59","1.14741762933846","65.7421875",""
"ABAB ABAB ABAB ABAB ABAB 0011","2.56","1422431330321333","1","0","924.375","-54.5","6.26477753772496","358.9453125",""
"ABAB ABAB ABAB ABAB ABAB 0010","2.56","1422431330327795","1","0","924.375","-56","5.49778714378214","315",""
"ABAB ABAB ABAB ABAB ABAB 0007","2.13","1422431330332414","1","0","924.375","-54.5","4.01289374110884","229.921875",""
"ABAB ABAB ABAB ABAB ABAB 0008","1.50","1422431330340274","1","0","924.375","-50.5","4.62648605626309","265.078125",""
"ABAB ABAB ABAB ABAB ABAB 0004","1.81","1422431330343681","1","0","924.375","-66","1.74260217503809","99.84375",""
"ABAB ABAB ABAB ABAB ABAB 0005","2.13","1422431330347052","1","0","924.375","-59.5","2.35619449019234","135",""
