"EPC","DopplerShift(Hz)","Time","Antenna","TxPower","Frequency(MHz)","RSS(dbm)","PhaseAngle(Radian)","PhaseAngle(Degree)",""
"ABAB ABAB ABAB ABAB ABAB 0008","0.56","1422430503536646","1","0","924.375","-50.5","5.21553467881118","298.828125",""
"ABAB ABAB ABAB ABAB ABAB 0011","2.13","1422430503541080","1","0","924.375","-54.5","0.0797670009700533","4.5703125",""
"ABAB ABAB ABAB ABAB ABAB 0004","4.06","1422430503544369","1","0","924.375","-65.5","4.50376759323224","258.046875",""
"ABAB ABAB ABAB ABAB ABAB 0007","1.50","1422430503548442","1","0","924.375","-54","3.98835004850267","228.515625",""
"ABAB ABAB ABAB ABAB ABAB 0006","2.88","1422430503558029","1","0","924.375","-59","1.14741762933846","65.7421875",""
"ABAB ABAB ABAB ABAB ABAB 0009","2.56","1422430503561428","1","0","924.375","-58","5.72481630038921","328.0078125",""
"ABAB ABAB ABAB ABAB ABAB 0005","2.88","1422430503564781","1","0","924.375","-59.5","5.35666091129666","306.9140625",""
"ABAB ABAB ABAB ABAB ABAB 0010","0.88","1422430503568798","1","0","924.375","-57","5.52233083638831","316.40625",""
"ABAB ABAB ABAB ABAB ABAB 0012","1.81","1422430503575689","1","0","924.375","-60","0.0920388472731385","5.2734375",""
"ABAB ABAB ABAB ABAB ABAB 0007","1.19","1422430503587605","1","0","924.375","-54.5","0.834485548609789","47.8125",""
"ABAB ABAB ABAB ABAB ABAB 0008","1.50","1422430503592933","1","0","924.375","-50.5","5.21553467881118","298.828125",""
"ABAB ABAB ABAB ABAB ABAB 0004","0.88","1422430503599176","1","0","924.375","-66","1.41126232485479","80.859375",""
"ABAB ABAB ABAB ABAB ABAB 0012","-0.56","1422430503603205","1","0","924.375","-60","0.0797670009700533","4.5703125",""
"ABAB ABAB ABAB ABAB ABAB 0005","1.19","1422430503608497","1","0","924.375","-59.5","2.23347602716149","127.96875",""
"ABAB ABAB ABAB ABAB ABAB 0006","2.13","1422430503612463","1","0","924.375","-59","1.17809724509617","67.5",""
"ABAB ABAB ABAB ABAB ABAB 0010","1.81","1422430503615751","1","0","924.375","-57","5.52233083638831","316.40625",""
"ABAB ABAB ABAB ABAB ABAB 0009","0.56","1422430503620412","1","0","924.375","-58","5.76163183929847","330.1171875",""
"ABAB ABAB ABAB ABAB ABAB 0011","4.06","1422430503623745","1","0","924.375","-54.5","0.0797670009700533","4.5703125",""
"ABAB ABAB ABAB ABAB ABAB 0006","2.56","1422430503649866","1","0","924.375","-59","1.16582539879309","66.796875",""
"ABAB ABAB ABAB ABAB ABAB 0008","2.13","1422430503653916","1","0","924.375","-50.5","5.19099098620501","297.421875",""
"ABAB ABAB ABAB ABAB ABAB 0004","3.19","1422430503657886","1","0","924.375","-66","4.56512682474767","261.5625",""
"ABAB ABAB ABAB ABAB ABAB 0009","1.81","1422430503662575","1","0","924.375","-58","5.74935999299538","329.4140625",""
"ABAB ABAB ABAB ABAB ABAB 0005","0.56","1422430503667972","1","0","924.375","-59.5","2.24574787346458","128.671875",""
"ABAB ABAB ABAB ABAB ABAB 0011","2.13","1422430503680309","1","0","924.375","-54.5","0.0736310778185108","4.21875",""
"ABAB ABAB ABAB ABAB ABAB 0007","2.88","1422430503685059","1","0","924.375","-54","3.9638063558965","227.109375",""
"ABAB ABAB ABAB ABAB ABAB 0010","0.56","1422430503690384","1","0","924.375","-56.5","5.54687452899448","317.8125",""
"ABAB ABAB ABAB ABAB ABAB 0012","0.56","1422430503695134","1","0","924.375","-60","3.22749557771139","184.921875",""
"ABAB ABAB ABAB ABAB ABAB 0005","1.81","1422430503708739","1","0","924.375","-59.5","2.23961195031304","128.3203125",""
"ABAB ABAB ABAB ABAB ABAB 0004","3.50","1422430503712027","1","0","924.375","-66","1.39285455540016","79.8046875",""
"ABAB ABAB ABAB ABAB ABAB 0009","1.50","1422430503716634","1","0","924.375","-58","5.7370881466923","328.7109375",""
"ABAB ABAB ABAB ABAB ABAB 0006","0.88","1422430503722533","1","0","924.375","-59","1.17809724509617","67.5",""
"ABAB ABAB ABAB ABAB ABAB 0010","3.19","1422430503727867","1","0","924.375","-56.5","5.49778714378214","315",""
"ABAB ABAB ABAB ABAB ABAB 0011","1.19","1422430503731261","1","0","924.375","-54.5","0.0859029241215959","4.921875",""
