"EPC","DopplerShift(Hz)","Time","Antenna","TxPower","Frequency(MHz)","RSS(dbm)","PhaseAngle(Radian)","PhaseAngle(Degree)",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","2.56","1434003956276006","1","0","924.125","-44.5","0.852893318064416","48.8671875",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","1.19","1434003956302009","1","0","924.125","-44.5","0.865165164367502","49.5703125",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","1.81","1434003956329168","1","0","924.125","-44.5","0.859029241215959","49.21875",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","0.88","1434003956359946","1","0","924.125","-44.5","0.859029241215959","49.21875",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","1.50","1434003956392704","1","0","924.125","-44.5","0.852893318064416","48.8671875",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","1.50","1434003956409364","1","0","924.125","-44.5","0.859029241215959","49.21875",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","1.50","1434003956443830","1","0","924.125","-44.5","0.852893318064416","48.8671875",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","1.81","1434003956468981","1","0","924.125","-44.5","0.852893318064416","48.8671875",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","0.88","1434003956505584","1","0","924.125","-44.5","0.859029241215959","49.21875",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","3.50","1434003956520898","1","0","924.125","-44.5","0.828349625458246","47.4609375",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","2.56","1434003956560719","1","0","924.125","-44.5","0.859029241215959","49.21875",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","1.81","1434003956575233","1","0","924.125","-44.5","0.852893318064416","48.8671875",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","2.13","1434003956604773","1","0","924.125","-44.5","0.859029241215959","49.21875",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","0.56","1434003956628421","1","0","924.125","-44.5","0.859029241215959","49.21875",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","4.06","1434003956665115","1","0","924.125","-44.5","0.834485548609789","47.8125",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","1.81","1434003956689678","1","0","924.125","-44.5","0.859029241215959","49.21875",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","3.19","1434003956723269","1","0","924.125","-44.5","0.840621471761331","48.1640625",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","2.88","1434003956748389","1","0","924.125","-44.5","0.840621471761331","48.1640625",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","1.81","1434003956779779","1","0","924.125","-44.5","0.871301087519044","49.921875",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","2.13","1434003956795780","1","0","924.125","-44.5","0.865165164367502","49.5703125",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","2.13","1434003956826671","1","0","924.125","-44.5","0.865165164367502","49.5703125",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","1.19","1434003956859536","1","0","924.125","-44.5","0.859029241215959","49.21875",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","2.13","1434003956882596","1","0","924.125","-44.5","0.859029241215959","49.21875",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","3.19","1434003956910329","1","0","924.125","-44.5","0.840621471761331","48.1640625",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","1.50","1434003956942098","1","0","924.125","-44.5","0.871301087519044","49.921875",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","2.56","1434003956961064","1","0","924.125","-44.5","0.840621471761331","48.1640625",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","2.88","1434003956992627","1","0","924.125","-44.5","0.840621471761331","48.1640625",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","3.50","1434003957023532","1","0","924.125","-44.5","0.834485548609789","47.8125",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","3.19","1434003957056362","1","0","924.125","-44.5","0.840621471761331","48.1640625",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","2.56","1434003957076066","1","0","924.125","-44.5","0.852893318064416","48.8671875",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","2.13","1434003957104897","1","0","924.125","-44.5","0.865165164367502","49.5703125",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","3.50","1434003957134010","1","0","924.125","-44.5","0.834485548609789","47.8125",""
