"EPC","DopplerShift(Hz)","Time","Antenna","TxPower","Frequency(MHz)","RSS(dbm)","PhaseAngle(Radian)","PhaseAngle(Degree)",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","1.63","1434002261705396","1","0","924.375","-44.5","3.85335973916873","220.78125",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","4.88","1434002261739712","1","0","924.375","-44","3.8349519697141","219.7265625",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","0.00","1434002261769946","1","0","924.375","-44.5","3.84722381601719","220.4296875",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","1.63","1434002261807865","1","0","924.375","-44","3.84722381601719","220.4296875",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","4.88","1434002261838569","1","0","924.375","-44","3.8349519697141","219.7265625",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","1.63","1434002261875232","1","0","924.375","-44.5","3.84108789286565","220.078125",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","3.25","1434002261905034","1","0","924.375","-44","3.8349519697141","219.7265625",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","3.25","1434002261939380","1","0","924.375","-44","3.85335973916873","220.78125",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","-1.63","1434002261969886","1","0","924.375","-44","3.86563158547182","221.484375",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","1.63","1434002262009976","1","0","924.375","-44","3.84722381601719","220.4296875",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","1.63","1434002262039728","1","0","924.375","-44.5","3.84108789286565","220.078125",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","7.31","1434002262072002","1","0","924.375","-44","3.82881604656256","219.375",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","-1.63","1434002262103241","1","0","924.375","-44","3.85335973916873","220.78125",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","4.88","1434002262139768","1","0","924.375","-44","3.8349519697141","219.7265625",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","3.25","1434002262168615","1","0","924.375","-44.5","3.85335973916873","220.78125",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","4.88","1434002262209149","1","0","924.375","-44","3.84108789286565","220.078125",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","-1.63","1434002262236539","1","0","924.375","-44","3.85335973916873","220.78125",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","4.88","1434002262275048","1","0","924.375","-44.5","3.84108789286565","220.078125",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","-1.63","1434002262305259","1","0","924.375","-44.5","3.85949566232027","221.1328125",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","-3.25","1434002262338802","1","0","924.375","-44.5","3.85949566232027","221.1328125",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","3.25","1434002262369376","1","0","924.375","-44","3.84108789286565","220.078125",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","7.31","1434002262407365","1","0","924.375","-44.5","3.8349519697141","219.7265625",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","1.63","1434002262437599","1","0","924.375","-44.5","3.84722381601719","220.4296875",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","0.00","1434002262473259","1","0","924.375","-44","3.85335973916873","220.78125",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","4.88","1434002262503465","1","0","924.375","-44.5","3.8349519697141","219.7265625",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","3.25","1434002262539370","1","0","924.375","-44","3.84722381601719","220.4296875",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","7.31","1434002262570049","1","0","924.375","-44","3.8349519697141","219.7265625",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","10.56","1434002262608941","1","0","924.375","-44","3.84108789286565","220.078125",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","1.63","1434002262639021","1","0","924.375","-44","3.85949566232027","221.1328125",""
"EEEE EEEE EEEE EEEE EEEE 4B2C","1.63","1434002262675863","1","0","924.375","-44.5","3.85949566232027","221.1328125",""
