"EPC","DopplerShift(Hz)","Time","Antenna","TxPower","Frequency(MHz)","RSS(dbm)","PhaseAngle(Radian)","PhaseAngle(Degree)",""
"AAAA ABCD ABCD ABCD ABCD E019","-1.81","1414133692256119","1","0","924.375","-57.5","0.116582539879309","6.6796875",""
"AAAA ABCD ABCD ABCD ABCD E019","0.25","1414133692280716","1","0","924.375","-58.5","0.147262155637022","8.4375",""
"AAAA ABCD ABCD ABCD ABCD E019","4.38","1414133692313850","1","0","924.375","-57.5","3.28271888607527","188.0859375",""
"AAAA ABCD ABCD ABCD ABCD E019","1.81","1414133692336713","1","0","924.375","-58","0.208621387152447","11.953125",""
"AAAA ABCD ABCD ABCD ABCD E019","1.50","1414133692368882","1","0","924.375","-58.5","0.245436926061703","14.0625",""
"AAAA ABCD ABCD ABCD ABCD E019","7.44","1414133692397092","1","0","924.375","-58","3.33794219443916","191.25",""
"AAAA ABCD ABCD ABCD ABCD E019","2.13","1414133692424124","1","0","924.375","-58.5","0.355883542789469","20.390625",""
"AAAA ABCD ABCD ABCD ABCD E019","2.13","1414133692457513","1","0","924.375","-58.5","0.392699081698724","22.5",""
"AAAA ABCD ABCD ABCD ABCD E019","0.88","1414133692487005","1","0","924.375","-58.5","3.59565096680394","206.015625",""
"AAAA ABCD ABCD ABCD ABCD E019","2.88","1414133692515037","1","0","924.375","-58.5","3.57724319734932","204.9609375",""
"AAAA ABCD ABCD ABCD ABCD E019","2.88","1414133692544986","1","0","924.375","-58.5","0.441786466911065","25.3125",""
"AAAA ABCD ABCD ABCD ABCD E019","2.44","1414133692566886","1","0","924.375","-58.5","3.60178688995549","206.3671875",""
"AAAA ABCD ABCD ABCD ABCD E019","2.13","1414133692602409","1","0","924.375","-58.5","0.47860200582032","27.421875",""
"AAAA ABCD ABCD ABCD ABCD E019","2.56","1414133692621904","1","0","924.375","-58.5","3.62633058256166","207.7734375",""
"AAAA ABCD ABCD ABCD ABCD E019","2.44","1414133692652841","1","0","924.375","-58.5","0.50314569842649","28.828125",""
"AAAA ABCD ABCD ABCD ABCD E019","0.56","1414133692670570","1","0","924.375","-58.5","3.65087427516783","209.1796875",""
"AAAA ABCD ABCD ABCD ABCD E019","1.63","1414133692703906","1","0","924.375","-58.5","0.515417544729575","29.53125",""
"AAAA ABCD ABCD ABCD ABCD E019","2.44","1414133692738302","1","0","924.375","-58.5","3.6324665057132","208.125",""
"AAAA ABCD ABCD ABCD ABCD E019","1.81","1414133692769911","1","0","924.375","-58.5","0.527689391032661","30.234375",""
"AAAA ABCD ABCD ABCD ABCD E019","2.88","1414133692785170","1","0","924.375","-58.5","0.521553467881118","29.8828125",""
"AAAA ABCD ABCD ABCD ABCD E019","3.19","1414133692824232","1","0","924.375","-58.5","0.521553467881118","29.8828125",""
"AAAA ABCD ABCD ABCD ABCD E019","1.19","1414133692843218","1","0","924.375","-58.5","3.69996166038017","211.9921875",""
"AAAA ABCD ABCD ABCD ABCD E019","2.13","1414133692873935","1","0","924.375","-58.5","0.558369006790373","31.9921875",""
"AAAA ABCD ABCD ABCD ABCD E019","2.56","1414133692893760","1","0","924.375","-58.5","3.68155389092554","210.9375",""
"AAAA ABCD ABCD ABCD ABCD E019","0.00","1414133692928020","1","0","924.375","-59","3.74904904559251","214.8046875",""
"AAAA ABCD ABCD ABCD ABCD E019","0.56","1414133692949624","1","0","924.375","-59","3.76132089189559","215.5078125",""
"AAAA ABCD ABCD ABCD ABCD E019","2.13","1414133692986079","1","0","924.375","-59","3.75518496874405","215.15625",""
"AAAA ABCD ABCD ABCD ABCD E019","-1.50","1414133693014629","1","0","924.375","-59","3.79200050765331","217.265625",""
"AAAA ABCD ABCD ABCD ABCD E019","1.50","1414133693043113","1","0","924.375","-59","3.78586458450176","216.9140625",""
"AAAA ABCD ABCD ABCD ABCD E019","4.38","1414133693058765","1","0","924.375","-59","0.595184545699629","34.1015625",""
"AAAA ABCD ABCD ABCD ABCD E019","2.13","1414133693097068","1","0","924.375","-59.5","3.78586458450176","216.9140625",""
"AAAA ABCD ABCD ABCD ABCD E019","2.13","1414133693119499","1","0","924.375","-59.5","3.81654420025948","218.671875",""
"AAAA ABCD ABCD ABCD ABCD E019","1.31","1414133693146101","1","0","924.375","-59.5","0.699495239275852","40.078125",""
"AAAA ABCD ABCD ABCD ABCD E019","1.81","1414133693175445","1","0","924.375","-59.5","3.85949566232027","221.1328125",""
"AAAA ABCD ABCD ABCD ABCD E019","0.00","1414133693213352","1","0","924.375","-59.5","3.89017527807799","222.890625",""
"AAAA ABCD ABCD ABCD ABCD E019","3.19","1414133693234971","1","0","924.375","-59.5","0.711767085578938","40.78125",""
"AAAA ABCD ABCD ABCD ABCD E019","0.88","1414133693267828","1","0","924.375","-59.5","3.91471897068416","224.296875",""
"AAAA ABCD ABCD ABCD ABCD E019","1.50","1414133693288863","1","0","924.375","-59.5","0.748582624488193","42.890625",""
"AAAA ABCD ABCD ABCD ABCD E019","1.19","1414133693315559","1","0","924.375","-60","3.91471897068416","224.296875",""
"AAAA ABCD ABCD ABCD ABCD E019","0.56","1414133693345596","1","0","924.375","-60","3.93926266329033","225.703125",""
"AAAA ABCD ABCD ABCD ABCD E019","0.88","1414133693369566","1","0","924.375","-60","3.90858304753261","223.9453125",""
"AAAA ABCD ABCD ABCD ABCD E019","1.81","1414133693398811","1","0","924.375","-60","3.89017527807799","222.890625",""
"AAAA ABCD ABCD ABCD ABCD E019","1.50","1414133693433044","1","0","924.375","-60","3.87176750862336","221.8359375",""
"AAAA ABCD ABCD ABCD ABCD E019","1.81","1414133693451476","1","0","924.375","-59.5","3.8779034317749","222.1875",""
"AAAA ABCD ABCD ABCD ABCD E019","1.50","1414133693488619","1","0","924.375","-59.5","0.711767085578938","40.78125",""
"AAAA ABCD ABCD ABCD ABCD E019","-0.56","1414133693509637","1","0","924.375","-59.5","3.85335973916873","220.78125",""
"AAAA ABCD ABCD ABCD ABCD E019","-1.19","1414133693545440","1","0","924.375","-59.5","3.85949566232027","221.1328125",""
"AAAA ABCD ABCD ABCD ABCD E019","3.19","1414133693566354","1","0","924.375","-59.5","0.638136007760427","36.5625",""
"AAAA ABCD ABCD ABCD ABCD E019","0.00","1414133693599120","1","0","924.375","-59.5","3.82881604656256","219.375",""
"AAAA ABCD ABCD ABCD ABCD E019","-0.25","1414133693620893","1","0","924.375","-60","3.82881604656256","219.375",""
"AAAA ABCD ABCD ABCD ABCD E019","3.50","1414133693657000","1","0","924.375","-59.5","0.644271930911969","36.9140625",""
"AAAA ABCD ABCD ABCD ABCD E019","0.88","1414133693674471","1","0","924.375","-60","3.81654420025948","218.671875",""
