"EPC","DopplerShift(Hz)","Time","Antenna","TxPower","Frequency(MHz)","RSS(dbm)","PhaseAngle(Radian)","PhaseAngle(Degree)",""
"AAAA ABCD ABCD ABCD ABCD E019","1.19","1414133817406281","1","0","924.375","-57.5","3.90244712438107","223.59375",""
"AAAA ABCD ABCD ABCD ABCD E019","2.44","1414133817426355","1","0","924.375","-57.5","0.730174855033565","41.8359375",""
"AAAA ABCD ABCD ABCD ABCD E019","4.25","1414133817451559","1","0","924.375","-57.5","3.84722381601719","220.4296875",""
"AAAA ABCD ABCD ABCD ABCD E019","2.44","1414133817485103","1","0","924.375","-57.5","3.84722381601719","220.4296875",""
"AAAA ABCD ABCD ABCD ABCD E019","3.50","1414133817508842","1","0","924.375","-57.5","0.71790300873048","41.1328125",""
"AAAA ABCD ABCD ABCD ABCD E019","3.19","1414133817533340","1","0","924.375","-57.5","0.71790300873048","41.1328125",""
"AAAA ABCD ABCD ABCD ABCD E019","2.13","1414133817566926","1","0","924.375","-58","0.730174855033565","41.8359375",""
"AAAA ABCD ABCD ABCD ABCD E019","2.44","1414133817596378","1","0","924.375","-58","0.724038931882023","41.484375",""
"AAAA ABCD ABCD ABCD ABCD E019","3.50","1414133817623088","1","0","924.375","-58","0.705631162427395","40.4296875",""
"AAAA ABCD ABCD ABCD ABCD E019","2.13","1414133817648828","1","0","924.375","-58","0.730174855033565","41.8359375",""
"AAAA ABCD ABCD ABCD ABCD E019","1.19","1414133817684731","1","0","924.375","-58","0.74244670133665","42.5390625",""
"AAAA ABCD ABCD ABCD ABCD E019","2.88","1414133817704228","1","0","924.375","-58","0.711767085578938","40.78125",""
"AAAA ABCD ABCD ABCD ABCD E019","2.25","1414133817729696","1","0","924.375","-57.5","3.85335973916873","220.78125",""
"AAAA ABCD ABCD ABCD ABCD E019","2.56","1414133817759041","1","0","924.375","-58","0.711767085578938","40.78125",""
"AAAA ABCD ABCD ABCD ABCD E019","1.50","1414133817796754","1","0","924.375","-58","0.748582624488193","42.890625",""
"AAAA ABCD ABCD ABCD ABCD E019","2.56","1414133817818977","1","0","924.375","-58","0.730174855033565","41.8359375",""
"AAAA ABCD ABCD ABCD ABCD E019","2.56","1414133817851152","1","0","924.375","-58","3.90858304753261","223.9453125",""
"AAAA ABCD ABCD ABCD ABCD E019","2.13","1414133817869396","1","0","924.375","-58","0.773126317094363","44.296875",""
"AAAA ABCD ABCD ABCD ABCD E019","0.56","1414133817904852","1","0","924.375","-58","0.797670009700533","45.703125",""
"AAAA ABCD ABCD ABCD ABCD E019","3.81","1414133817930563","1","0","924.375","-58","0.785398163397448","45",""
"AAAA ABCD ABCD ABCD ABCD E019","2.56","1414133817962518","1","0","924.375","-58","0.809941856003619","46.40625",""
"AAAA ABCD ABCD ABCD ABCD E019","1.81","1414133817987481","1","0","924.375","-58","0.828349625458246","47.4609375",""
"AAAA ABCD ABCD ABCD ABCD E019","3.19","1414133818017454","1","0","924.375","-58","3.98221412535112","228.1640625",""
"AAAA ABCD ABCD ABCD ABCD E019","3.50","1414133818043877","1","0","924.375","-58","0.840621471761331","48.1640625",""
"AAAA ABCD ABCD ABCD ABCD E019","2.88","1414133818071667","1","0","924.375","-58","4.01902966426038","230.2734375",""
"AAAA ABCD ABCD ABCD ABCD E019","3.19","1414133818098222","1","0","924.375","-58","0.889708856973672","50.9765625",""
"AAAA ABCD ABCD ABCD ABCD E019","0.88","1414133818128263","1","0","924.375","-58","4.09879666523043","234.84375",""
"AAAA ABCD ABCD ABCD ABCD E019","1.19","1414133818151393","1","0","924.375","-58","4.11106851153352","235.546875",""
"AAAA ABCD ABCD ABCD ABCD E019","1.50","1414133818179537","1","0","924.375","-58","1.00015547370144","57.3046875",""
