"EPC","DopplerShift(Hz)","Time","Antenna","TxPower","Frequency(MHz)","RSS(dbm)","PhaseAngle(Radian)","PhaseAngle(Degree)",""
"AAAA ABCD ABCD ABCD ABCD E019","12.63","1414133641317647","1","0","924.375","-71","6.18501053675491","354.375",""
"AAAA ABCD ABCD ABCD ABCD E019","12.94","1414133641338285","1","0","924.375","-66.5","0.0736310778185108","4.21875",""
"AAAA ABCD ABCD ABCD ABCD E019","2.56","1414133641425206","1","0","924.375","-76.5","0.184077694546277","10.546875",""
"AAAA ABCD ABCD ABCD ABCD E019","-0.25","1414133642145099","1","0","924.375","-79.5","2.81638872655804","161.3671875",""
"AAAA ABCD ABCD ABCD ABCD E019","0.25","1414133642399964","1","0","924.375","-72","6.16660276730028","353.3203125",""
"AAAA ABCD ABCD ABCD ABCD E019","6.50","1414133642436183","1","0","924.375","-74","6.12365130523948","350.859375",""
"AAAA ABCD ABCD ABCD ABCD E019","-0.25","1414133642509505","1","0","924.375","-74","0.0245436926061703","1.40625",""
"AAAA ABCD ABCD ABCD ABCD E019","-2.13","1414133642549036","1","0","924.375","-74.5","0.0552233083638831","3.1640625",""
"AAAA ABCD ABCD ABCD ABCD E019","-5.19","1414133642567791","1","0","924.375","-74","0.0306796157577128","1.7578125",""
"AAAA ABCD ABCD ABCD ABCD E019","1.31","1414133642620742","1","0","924.375","-72.5","6.16660276730028","353.3203125",""
"AAAA ABCD ABCD ABCD ABCD E019","-1.19","1414133642684194","1","0","924.375","-75.5","0.00613592315154256","0.3515625",""
"AAAA ABCD ABCD ABCD ABCD E019","-2.88","1414133642713512","1","0","924.375","-75.5","6.25250569142187","358.2421875",""
"AAAA ABCD ABCD ABCD ABCD E019","-0.25","1414133642752923","1","0","924.375","-76","6.24636976827033","357.890625",""
"AAAA ABCD ABCD ABCD ABCD E019","4.38","1414133642794886","1","0","924.375","-76","6.20955422936108","355.78125",""
"AAAA ABCD ABCD ABCD ABCD E019","-4.69","1414133642925684","1","0","924.375","-71","6.27704938402804","359.6484375",""
"AAAA ABCD ABCD ABCD ABCD E019","0.56","1414133643034739","1","0","924.375","-75","6.16660276730028","353.3203125",""
"AAAA ABCD ABCD ABCD ABCD E019","6.25","1414133643134731","1","0","924.375","-73","0.0184077694546277","1.0546875",""
"AAAA ABCD ABCD ABCD ABCD E019","-7.44","1414133643166444","1","0","924.375","-71.5","0.0306796157577128","1.7578125",""
"AAAA ABCD ABCD ABCD ABCD E019","0.00","1414133643358336","1","0","924.375","-71","0.159534001940107","9.140625",""
"AAAA ABCD ABCD ABCD ABCD E019","-3.50","1414133643435751","1","0","924.375","-71.5","0.220893233455532","12.65625",""
"AAAA ABCD ABCD ABCD ABCD E019","-1.19","1414133643453170","1","0","924.375","-71","0.141126232485479","8.0859375",""
"AAAA ABCD ABCD ABCD ABCD E019","0.00","1414133643526195","1","0","924.375","-69.5","0.141126232485479","8.0859375",""
"AAAA ABCD ABCD ABCD ABCD E019","3.81","1414133643561369","1","0","924.375","-68","0.153398078788564","8.7890625",""
"AAAA ABCD ABCD ABCD ABCD E019","5.31","1414133643616167","1","0","924.375","-69.5","0.190213617697819","10.8984375",""
"AAAA ABCD ABCD ABCD ABCD E019","-0.25","1414133643695871","1","0","924.375","-66.5","0.177941771394734","10.1953125",""
