"EPC","DopplerShift(Hz)","Time","Antenna","TxPower","Frequency(MHz)","RSS(dbm)","PhaseAngle(Radian)","PhaseAngle(Degree)",""
"AAAA ABCD ABCD ABCD ABCD E019","0.88","1414133324584909","1","0","924.375","-59","1.13514578303537","65.0390625",""
"AAAA ABCD ABCD ABCD ABCD E019","0.88","1414133324608132","1","0","924.375","-59","4.24605882086745","243.28125",""
"AAAA ABCD ABCD ABCD ABCD E019","0.25","1414133324649740","1","0","924.375","-58.5","1.06765062836841","61.171875",""
"AAAA ABCD ABCD ABCD ABCD E019","0.25","1414133324670843","1","0","924.375","-58.5","1.04924285891378","60.1171875",""
"AAAA ABCD ABCD ABCD ABCD E019","2.56","1414133324700805","1","0","924.375","-58.5","0.95720401164064","54.84375",""
"AAAA ABCD ABCD ABCD ABCD E019","0.56","1414133324723839","1","0","924.375","-58.5","0.95720401164064","54.84375",""
"AAAA ABCD ABCD ABCD ABCD E019","0.56","1414133324754580","1","0","924.375","-58.5","0.9081166264283","52.03125",""
"AAAA ABCD ABCD ABCD ABCD E019","0.00","1414133324784619","1","0","924.375","-58.5","0.871301087519044","49.921875",""
"AAAA ABCD ABCD ABCD ABCD E019","1.81","1414133324810051","1","0","924.375","-58.5","0.803805932852076","46.0546875",""
"AAAA ABCD ABCD ABCD ABCD E019","0.56","1414133324830358","1","0","924.375","-58.5","0.791534086548991","45.3515625",""
"AAAA ABCD ABCD ABCD ABCD E019","0.56","1414133324861676","1","0","924.375","-58.5","0.773126317094363","44.296875",""
"AAAA ABCD ABCD ABCD ABCD E019","1.50","1414133324892222","1","0","924.375","-59","0.724038931882023","41.484375",""
"AAAA ABCD ABCD ABCD ABCD E019","0.25","1414133324924455","1","0","924.375","-59","0.69335931612431","39.7265625",""
"AAAA ABCD ABCD ABCD ABCD E019","1.81","1414133324940687","1","0","924.375","-59","0.66881562351814","38.3203125",""
