"EPC","DopplerShift(Hz)","Time","Antenna","TxPower","Frequency(MHz)","RSS(dbm)","PhaseAngle(Radian)","PhaseAngle(Degree)",""
"AAAA ABCD ABCD ABCD ABCD E019","1.50","1414133475920325","1","0","924.375","-65","6.2279619988157","356.8359375",""
"AAAA ABCD ABCD ABCD ABCD E019","-4.06","1414133475942837","1","0","924.375","-64.5","6.17273869045182","353.671875",""
"AAAA ABCD ABCD ABCD ABCD E019","3.19","1414133475978831","1","0","924.375","-65","6.12978722839102","351.2109375",""
"AAAA ABCD ABCD ABCD ABCD E019","-5.94","1414133476002244","1","0","924.375","-65","6.17887461360336","354.0234375",""
"AAAA ABCD ABCD ABCD ABCD E019","-2.56","1414133476028823","1","0","924.375","-65","6.13592315154256","351.5625",""
"AAAA ABCD ABCD ABCD ABCD E019","-0.56","1414133476060627","1","0","924.375","-65.5","6.06229207372405","347.34375",""
"AAAA ABCD ABCD ABCD ABCD E019","4.38","1414133476085058","1","0","924.375","-65.5","6.07456392002714","348.046875",""
"AAAA ABCD ABCD ABCD ABCD E019","-2.56","1414133476115580","1","0","924.375","-65.5","6.2709134608765","359.296875",""
"AAAA ABCD ABCD ABCD ABCD E019","0.25","1414133476151053","1","0","924.375","-65","6.22182607566416","356.484375",""
"AAAA ABCD ABCD ABCD ABCD E019","-1.31","1414133476172192","1","0","924.375","-65","6.17887461360336","354.0234375",""
"AAAA ABCD ABCD ABCD ABCD E019","-3.19","1414133476203031","1","0","924.375","-65","6.14205907469411","351.9140625",""
"AAAA ABCD ABCD ABCD ABCD E019","0.00","1414133476226271","1","0","924.375","-65","2.91456349698272","166.9921875",""
"AAAA ABCD ABCD ABCD ABCD E019","6.25","1414133476252973","1","0","924.375","-64.5","6.00706876536017","344.1796875",""
"AAAA ABCD ABCD ABCD ABCD E019","-7.13","1414133476281151","1","0","924.375","-64.5","5.93343768754166","339.9609375",""
"AAAA ABCD ABCD ABCD ABCD E019","5.00","1414133476315001","1","0","924.375","-64.5","5.68800076147996","325.8984375",""
"AAAA ABCD ABCD ABCD ABCD E019","-0.88","1414133476330646","1","0","924.375","-64","5.6511852225707","323.7890625",""
"AAAA ABCD ABCD ABCD ABCD E019","-7.13","1414133476361719","1","0","924.375","-64","5.64504929941916","323.4375",""
"AAAA ABCD ABCD ABCD ABCD E019","-2.44","1414133476389978","1","0","924.375","-64.5","5.46097160487288","312.890625",""
"AAAA ABCD ABCD ABCD ABCD E019","-2.44","1414133476421076","1","0","924.375","-65","2.28256341237383","130.78125",""
"AAAA ABCD ABCD ABCD ABCD E019","4.06","1414133476452093","1","0","924.375","-65","5.24621429456889","300.5859375",""
"AAAA ABCD ABCD ABCD ABCD E019","-0.88","1414133476483429","1","0","924.375","-66","5.22780652511427","299.53125",""
"AAAA ABCD ABCD ABCD ABCD E019","-6.25","1414133476510496","1","0","924.375","-65.5","2.04939833261522","117.421875",""
"AAAA ABCD ABCD ABCD ABCD E019","2.56","1414133476544605","1","0","924.375","-65","4.92101036753714","281.953125",""
"AAAA ABCD ABCD ABCD ABCD E019","5.31","1414133476576163","1","0","924.375","-66","1.5707963267949","90",""
"AAAA ABCD ABCD ABCD ABCD E019","3.19","1414133476604191","1","0","924.375","-66.5","1.42353417115788","81.5625",""
"AAAA ABCD ABCD ABCD ABCD E019","-0.56","1414133476630387","1","0","924.375","-66","1.33763124703628","76.640625",""
"AAAA ABCD ABCD ABCD ABCD E019","-2.56","1414133476669296","1","0","924.375","-65.5","1.09833024412612","62.9296875",""
"AAAA ABCD ABCD ABCD ABCD E019","1.50","1414133476694256","1","0","924.375","-65","0.877437010670587","50.2734375",""
"AAAA ABCD ABCD ABCD ABCD E019","4.06","1414133476728090","1","0","924.375","-64.5","0.638136007760427","36.5625",""
"AAAA ABCD ABCD ABCD ABCD E019","-0.56","1414133476756663","1","0","924.375","-65.5","0.601320468851171","34.453125",""
"AAAA ABCD ABCD ABCD ABCD E019","10.06","1414133476784877","1","0","924.375","-65","0.300660234425586","17.2265625",""
"AAAA ABCD ABCD ABCD ABCD E019","6.50","1414133476813772","1","0","924.375","-65.5","0.380427235395639","21.796875",""
"AAAA ABCD ABCD ABCD ABCD E019","2.13","1414133476846034","1","0","924.375","-65.5","0.147262155637022","8.4375",""
"AAAA ABCD ABCD ABCD ABCD E019","1.81","1414133476875783","1","0","924.375","-65.5","0.0859029241215959","4.921875",""
"AAAA ABCD ABCD ABCD ABCD E019","2.56","1414133476908071","1","0","924.375","-65","0.00613592315154256","0.3515625",""
"AAAA ABCD ABCD ABCD ABCD E019","-0.25","1414133476939434","1","0","924.375","-65.5","6.20955422936108","355.78125",""
"AAAA ABCD ABCD ABCD ABCD E019","-2.56","1414133476973803","1","0","924.375","-65.5","6.20341830620953","355.4296875",""
"AAAA ABCD ABCD ABCD ABCD E019","1.31","1414133476996755","1","0","924.375","-64.5","6.19728238305799","355.078125",""
"AAAA ABCD ABCD ABCD ABCD E019","0.00","1414133477026469","1","0","924.375","-66","6.17887461360336","354.0234375",""
"AAAA ABCD ABCD ABCD ABCD E019","6.50","1414133477049677","1","0","924.375","-65.5","6.00706876536017","344.1796875",""
"AAAA ABCD ABCD ABCD ABCD E019","-1.81","1414133477086379","1","0","924.375","-64","6.12978722839102","351.2109375",""
"AAAA ABCD ABCD ABCD ABCD E019","-7.44","1414133477105150","1","0","924.375","-65.5","0.0490873852123405","2.8125",""
"AAAA ABCD ABCD ABCD ABCD E019","5.75","1414133477143982","1","0","924.375","-64.5","6.08069984317868","348.3984375",""
"AAAA ABCD ABCD ABCD ABCD E019","-0.25","1414133477154628","1","0","924.375","-64","6.15433092099719","352.6171875",""
"AAAA ABCD ABCD ABCD ABCD E019","7.63","1414133477196905","1","0","924.375","-65","6.21569015251262","356.1328125",""
"AAAA ABCD ABCD ABCD ABCD E019","14.75","1414133477216074","1","0","924.375","-65.5","5.98866099590554","343.125",""
"AAAA ABCD ABCD ABCD ABCD E019","-1.81","1414133477254807","1","0","924.375","-65","0.0797670009700533","4.5703125",""
"AAAA ABCD ABCD ABCD ABCD E019","3.19","1414133477270491","1","0","924.375","-65","6.27704938402804","359.6484375",""
"AAAA ABCD ABCD ABCD ABCD E019","-3.81","1414133477300968","1","0","924.375","-63.5","0.134990309333936","7.734375",""
"AAAA ABCD ABCD ABCD ABCD E019","-3.81","1414133477331434","1","0","924.375","-65.5","0.300660234425586","17.2265625",""
"AAAA ABCD ABCD ABCD ABCD E019","2.88","1414133477360897","1","0","924.375","-66","0.337475773334841","19.3359375",""
"AAAA ABCD ABCD ABCD ABCD E019","1.50","1414133477387731","1","0","924.375","-65.5","0.484737928971863","27.7734375",""
"AAAA ABCD ABCD ABCD ABCD E019","5.00","1414133477418798","1","0","924.375","-65.5","0.570640853093458","32.6953125",""
"AAAA ABCD ABCD ABCD ABCD E019","-0.56","1414133477453848","1","0","924.375","-65.5","0.730174855033565","41.8359375",""
"AAAA ABCD ABCD ABCD ABCD E019","0.00","1414133477483913","1","0","924.375","-66","0.889708856973672","50.9765625",""
"AAAA ABCD ABCD ABCD ABCD E019","0.00","1414133477507908","1","0","924.375","-65.5","1.05537878206532","60.46875",""
"AAAA ABCD ABCD ABCD ABCD E019","-5.31","1414133477544483","1","0","924.375","-65.5","1.23332055346006","70.6640625",""
"AAAA ABCD ABCD ABCD ABCD E019","2.88","1414133477572386","1","0","924.375","-64","1.30695163127857","74.8828125",""
"AAAA ABCD ABCD ABCD ABCD E019","-1.19","1414133477620715","1","0","924.375","-64","1.50330117212793","86.1328125",""
"AAAA ABCD ABCD ABCD ABCD E019","-5.63","1414133477672480","1","0","924.375","-65","1.77941771394734","101.953125",""
"AAAA ABCD ABCD ABCD ABCD E019","1.50","1414133477693619","1","0","924.375","-64","1.71192255928038","98.0859375",""
"AAAA ABCD ABCD ABCD ABCD E019","2.13","1414133477726548","1","0","924.375","-64.5","1.88372840752357","107.9296875",""
"AAAA ABCD ABCD ABCD ABCD E019","-0.25","1414133477790338","1","0","924.375","-65","2.08621387152447","119.53125",""
"AAAA ABCD ABCD ABCD ABCD E019","0.00","1414133477822174","1","0","924.375","-64","2.18438864194915","125.15625",""
"AAAA ABCD ABCD ABCD ABCD E019","2.88","1414133477860234","1","0","924.375","-64","5.31370944923586","304.453125",""
"AAAA ABCD ABCD ABCD ABCD E019","5.94","1414133477882047","1","0","924.375","-64","5.37506868075129","307.96875",""
"AAAA ABCD ABCD ABCD ABCD E019","6.25","1414133477916652","1","0","924.375","-64","5.38734052705437","308.671875",""
"AAAA ABCD ABCD ABCD ABCD E019","5.00","1414133477937797","1","0","924.375","-64","2.35619449019234","135",""
"AAAA ABCD ABCD ABCD ABCD E019","-2.44","1414133477965891","1","0","924.375","-63.5","2.42982556801086","139.21875",""
"AAAA ABCD ABCD ABCD ABCD E019","-2.44","1414133477991741","1","0","924.375","-65","5.68186483832841","325.546875",""
"AAAA ABCD ABCD ABCD ABCD E019","0.25","1414133478028207","1","0","924.375","-65","5.62664152996453","322.3828125",""
"AAAA ABCD ABCD ABCD ABCD E019","7.75","1414133478046188","1","0","924.375","-64","5.66959299202533","324.84375",""
"AAAA ABCD ABCD ABCD ABCD E019","8.38","1414133478082129","1","0","924.375","-65","5.73095222354076","328.359375",""
"AAAA ABCD ABCD ABCD ABCD E019","-3.94","1414133478105609","1","0","924.375","-65.5","5.85980660972315","335.7421875",""
"AAAA ABCD ABCD ABCD ABCD E019","9.44","1414133478143691","1","0","924.375","-65","6.00706876536017","344.1796875",""
"AAAA ABCD ABCD ABCD ABCD E019","-1.81","1414133478166091","1","0","924.375","-64","6.11137945893639","350.15625",""
"AAAA ABCD ABCD ABCD ABCD E019","-6.81","1414133478198173","1","0","924.375","-65","6.12365130523948","350.859375",""
"AAAA ABCD ABCD ABCD ABCD E019","-5.94","1414133478219281","1","0","924.375","-65","0.0122718463030851","0.703125",""
"AAAA ABCD ABCD ABCD ABCD E019","-1.81","1414133478246940","1","0","924.375","-65","6.17273869045182","353.671875",""
"AAAA ABCD ABCD ABCD ABCD E019","-4.38","1414133478271797","1","0","924.375","-64.5","6.17273869045182","353.671875",""
"AAAA ABCD ABCD ABCD ABCD E019","-3.50","1414133478301995","1","0","924.375","-66","0.0122718463030851","0.703125",""
"AAAA ABCD ABCD ABCD ABCD E019","5.63","1414133478322605","1","0","924.375","-65","0.0368155389092554","2.109375",""
"AAAA ABCD ABCD ABCD ABCD E019","12.63","1414133478359794","1","0","924.375","-63.5","6.25864161457342","358.59375",""
"AAAA ABCD ABCD ABCD ABCD E019","2.44","1414133478383308","1","0","924.375","-66.5","0.0613592315154256","3.515625",""
"AAAA ABCD ABCD ABCD ABCD E019","-1.19","1414133478423246","1","0","924.375","-65.5","0.104310693576224","5.9765625",""
"AAAA ABCD ABCD ABCD ABCD E019","1.31","1414133478445757","1","0","924.375","-65.5","0.0736310778185108","4.21875",""
"AAAA ABCD ABCD ABCD ABCD E019","3.50","1414133478477491","1","0","924.375","-67","0.0368155389092554","2.109375",""
"AAAA ABCD ABCD ABCD ABCD E019","-1.19","1414133478539611","1","0","924.375","-67","0.141126232485479","8.0859375",""
"AAAA ABCD ABCD ABCD ABCD E019","-4.38","1414133478563479","1","0","924.375","-67","0.245436926061703","14.0625",""
"AAAA ABCD ABCD ABCD ABCD E019","0.00","1414133478589406","1","0","924.375","-67.5","0.147262155637022","8.4375",""
"AAAA ABCD ABCD ABCD ABCD E019","5.00","1414133478619616","1","0","924.375","-66.5","0.0920388472731385","5.2734375",""
"AAAA ABCD ABCD ABCD ABCD E019","-0.88","1414133478646516","1","0","924.375","-66.5","0.128854386182394","7.3828125",""
"AAAA ABCD ABCD ABCD ABCD E019","7.13","1414133478667180","1","0","924.375","-67","0.147262155637022","8.4375",""
"AAAA ABCD ABCD ABCD ABCD E019","-13.88","1414133478708922","1","0","924.375","-65","0.300660234425586","17.2265625",""
"AAAA ABCD ABCD ABCD ABCD E019","0.56","1414133478730008","1","0","924.375","-67.5","0.128854386182394","7.3828125",""
"AAAA ABCD ABCD ABCD ABCD E019","10.06","1414133478773026","1","0","924.375","-66.5","0.110446616727766","6.328125",""
"AAAA ABCD ABCD ABCD ABCD E019","-0.25","1414133478793247","1","0","924.375","-66.5","0.147262155637022","8.4375",""
"AAAA ABCD ABCD ABCD ABCD E019","22.38","1414133478825106","1","0","924.375","-68","0.21475731030399","12.3046875",""
"AAAA ABCD ABCD ABCD ABCD E019","-1.31","1414133478850975","1","0","924.375","-68.5","3.47293250377309","198.984375",""
"AAAA ABCD ABCD ABCD ABCD E019","2.13","1414133478894012","1","0","924.375","-66","0.362019465941011","20.7421875",""
"AAAA ABCD ABCD ABCD ABCD E019","1.19","1414133478922846","1","0","924.375","-65.5","0.386563158547182","22.1484375",""
"AAAA ABCD ABCD ABCD ABCD E019","0.56","1414133478952428","1","0","924.375","-67","0.404970928001809","23.203125",""
"AAAA ABCD ABCD ABCD ABCD E019","2.56","1414133479015497","1","0","924.375","-67.5","0.423378697456437","24.2578125",""
"AAAA ABCD ABCD ABCD ABCD E019","0.00","1414133479040900","1","0","924.375","-67.5","0.45405831321415","26.015625",""
"AAAA ABCD ABCD ABCD ABCD E019","8.81","1414133479069756","1","0","924.375","-65.5","0.227029156607075","13.0078125",""
