"EPC","DopplerShift(Hz)","Time","Antenna","TxPower","Frequency(MHz)","RSS(dbm)","PhaseAngle(Radian)","PhaseAngle(Degree)",""
"AAAA ABCD ABCD ABCD ABCD E019","2.13","1414133184284869","1","0","924.375","-61","0.368155389092554","21.09375",""
"AAAA ABCD ABCD ABCD ABCD E019","0.56","1414133184319743","1","0","924.375","-66","0.791534086548991","45.3515625",""
"AAAA ABCD ABCD ABCD ABCD E019","2.13","1414133184353889","1","0","924.375","-67.5","4.81056375080937","275.625",""
"AAAA ABCD ABCD ABCD ABCD E019","1.50","1414133184381837","1","0","924.375","-65","5.3198453723874","304.8046875",""
"AAAA ABCD ABCD ABCD ABCD E019","1.50","1414133184403191","1","0","924.375","-63","5.46710752802443","313.2421875",""
"AAAA ABCD ABCD ABCD ABCD E019","-2.25","1414133184433680","1","0","924.375","-61.5","5.60209783735836","320.9765625",""
"AAAA ABCD ABCD ABCD ABCD E019","-1.19","1414133184470818","1","0","924.375","-60.5","5.68800076147996","325.8984375",""
"AAAA ABCD ABCD ABCD ABCD E019","0.00","1414133184494791","1","0","924.375","-60","5.71254445408613","327.3046875",""
"AAAA ABCD ABCD ABCD ABCD E019","1.81","1414133184524460","1","0","924.375","-60.5","5.68800076147996","325.8984375",""
"AAAA ABCD ABCD ABCD ABCD E019","0.00","1414133184549642","1","0","924.375","-61","2.54027218473862","145.546875",""
"AAAA ABCD ABCD ABCD ABCD E019","3.50","1414133184572158","1","0","924.375","-62.5","5.58369006790373","319.921875",""
"AAAA ABCD ABCD ABCD ABCD E019","2.88","1414133184600496","1","0","924.375","-65","2.24574787346458","128.671875",""
"AAAA ABCD ABCD ABCD ABCD E019","-5.31","1414133184635567","1","0","924.375","-70","1.61988371200724","92.8125",""
"AAAA ABCD ABCD ABCD ABCD E019","-10.06","1414133184649787","1","0","924.375","-71.5","1.1106020904292","63.6328125",""
"AAAA ABCD ABCD ABCD ABCD E019","5.31","1414133184824556","1","0","924.375","-67.5","6.03161245796634","345.5859375",""
"AAAA ABCD ABCD ABCD ABCD E019","5.94","1414133185236098","1","0","924.375","-67","5.12349583153804","293.5546875",""
"AAAA ABCD ABCD ABCD ABCD E019","6.81","1414133185264141","1","0","924.375","-70.5","5.48551529747905","314.296875",""
"AAAA ABCD ABCD ABCD ABCD E019","2.13","1414133185390293","1","0","924.375","-67.5","5.06213660002262","290.0390625",""
"AAAA ABCD ABCD ABCD ABCD E019","-0.25","1414133185418958","1","0","924.375","-68","5.28916575662969","303.046875",""
"AAAA ABCD ABCD ABCD ABCD E019","5.63","1414133191130536","1","0","924.375","-66.5","1.27013609236931","72.7734375",""
"AAAA ABCD ABCD ABCD ABCD E019","6.50","1414133191157981","1","0","924.375","-65.5","5.73095222354076","328.359375",""
"AAAA ABCD ABCD ABCD ABCD E019","4.88","1414133191188681","1","0","924.375","-63.5","3.84108789286565","220.078125",""
"AAAA ABCD ABCD ABCD ABCD E019","4.06","1414133191213937","1","0","924.375","-62.5","4.57739867105075","262.265625",""
"AAAA ABCD ABCD ABCD ABCD E019","3.50","1414133191249225","1","0","924.375","-64","5.27689391032661","302.34375",""
"AAAA ABCD ABCD ABCD ABCD E019","0.56","1414133191263918","1","0","924.375","-64.5","5.55914637529756","318.515625",""
"AAAA ABCD ABCD ABCD ABCD E019","4.25","1414133191296710","1","0","924.375","-66.5","6.07456392002714","348.046875",""
"AAAA ABCD ABCD ABCD ABCD E019","1.81","1414133191321738","1","0","924.375","-66.5","0.251572849213245","14.4140625",""
"AAAA ABCD ABCD ABCD ABCD E019","2.44","1414133191346714","1","0","924.375","-66.5","0.705631162427395","40.4296875",""
"AAAA ABCD ABCD ABCD ABCD E019","0.00","1414133191373204","1","0","924.375","-65","1.14741762933846","65.7421875",""
"AAAA ABCD ABCD ABCD ABCD E019","2.44","1414133191404149","1","0","924.375","-63.5","4.70625305723315","269.6484375",""
"AAAA ABCD ABCD ABCD ABCD E019","1.81","1414133191426089","1","0","924.375","-63.5","1.79782548340197","103.0078125",""
"AAAA ABCD ABCD ABCD ABCD E019","-0.56","1414133191459083","1","0","924.375","-63","2.19666048825224","125.859375",""
"AAAA ABCD ABCD ABCD ABCD E019","0.56","1414133191486458","1","0","924.375","-63.5","5.52846675953985","316.7578125",""
"AAAA ABCD ABCD ABCD ABCD E019","1.19","1414133191523596","1","0","924.375","-64","5.54687452899448","317.8125",""
"AAAA ABCD ABCD ABCD ABCD E019","1.50","1414133191543939","1","0","924.375","-64","5.39347645020591","309.0234375",""
"AAAA ABCD ABCD ABCD ABCD E019","-0.56","1414133191582549","1","0","924.375","-62.5","1.57693224994644","90.3515625",""
"AAAA ABCD ABCD ABCD ABCD E019","-2.13","1414133191611877","1","0","924.375","-62.5","6.18501053675491","354.375",""
"AAAA ABCD ABCD ABCD ABCD E019","-2.13","1414133191643826","1","0","924.375","-65","5.25235021772044","300.9375",""
"AAAA ABCD ABCD ABCD ABCD E019","1.50","1414133191668266","1","0","924.375","-65.5","1.87145656122048","107.2265625",""
"AAAA ABCD ABCD ABCD ABCD E019","2.56","1414133191702050","1","0","924.375","-63","5.84139884026852","334.6875",""
"AAAA ABCD ABCD ABCD ABCD E019","2.13","1414133191724997","1","0","924.375","-61","3.35634996389378","192.3046875",""
"AAAA ABCD ABCD ABCD ABCD E019","5.31","1414133191760840","1","0","924.375","-59.5","4.48535982377761","256.9921875",""
"AAAA ABCD ABCD ABCD ABCD E019","3.50","1414133191784055","1","0","924.375","-60.5","2.18438864194915","125.15625",""
"AAAA ABCD ABCD ABCD ABCD E019","1.19","1414133191812777","1","0","924.375","-62.5","6.08069984317868","348.3984375",""
"AAAA ABCD ABCD ABCD ABCD E019","3.81","1414133191838122","1","0","924.375","-63","0.288388388122501","16.5234375",""
"AAAA ABCD ABCD ABCD ABCD E019","0.00","1414133191864547","1","0","924.375","-63","0.754718547639735","43.2421875",""
"AAAA ABCD ABCD ABCD ABCD E019","1.81","1414133191905671","1","0","924.375","-62.5","1.25172832291468","71.71875",""
"AAAA ABCD ABCD ABCD ABCD E019","3.19","1414133191928669","1","0","924.375","-62.5","1.46034971006713","83.671875",""
"AAAA ABCD ABCD ABCD ABCD E019","0.25","1414133191951133","1","0","924.375","-62","4.79215598135474","274.5703125",""
"AAAA ABCD ABCD ABCD ABCD E019","0.56","1414133191986153","1","0","924.375","-62","4.828971520264","276.6796875",""
"AAAA ABCD ABCD ABCD ABCD E019","3.50","1414133192014820","1","0","924.375","-62","4.74920451929395","272.109375",""
"AAAA ABCD ABCD ABCD ABCD E019","-0.25","1414133192042705","1","0","924.375","-61","4.4117287459591","252.7734375",""
"AAAA ABCD ABCD ABCD ABCD E019","0.88","1414133192069185","1","0","924.375","-60.5","0.552233083638831","31.640625",""
"AAAA ABCD ABCD ABCD ABCD E019","3.19","1414133192104200","1","0","924.375","-66","0.147262155637022","8.4375",""
"AAAA ABCD ABCD ABCD ABCD E019","0.25","1414133192127809","1","0","924.375","-63","5.6082337605099","321.328125",""
"AAAA ABCD ABCD ABCD ABCD E019","3.19","1414133192152309","1","0","924.375","-66","5.24621429456889","300.5859375",""
"AAAA ABCD ABCD ABCD ABCD E019","1.50","1414133192178350","1","0","924.375","-65","5.72481630038921","328.0078125",""
"AAAA ABCD ABCD ABCD ABCD E019","2.44","1414133192206401","1","0","924.375","-64","0.362019465941011","20.7421875",""
"AAAA ABCD ABCD ABCD ABCD E019","1.50","1414133192234194","1","0","924.375","-64.5","4.13561220413969","236.953125",""
"AAAA ABCD ABCD ABCD ABCD E019","5.00","1414133192264894","1","0","924.375","-64","1.40512640170325","80.5078125",""
"AAAA ABCD ABCD ABCD ABCD E019","3.19","1414133192281671","1","0","924.375","-64.5","1.55238855734027","88.9453125",""
"AAAA ABCD ABCD ABCD ABCD E019","1.19","1414133192318186","1","0","924.375","-66","5.21553467881118","298.828125",""
"AAAA ABCD ABCD ABCD ABCD E019","4.06","1414133192342549","1","0","924.375","-66","5.79844737820772","332.2265625",""
"AAAA ABCD ABCD ABCD ABCD E019","3.81","1414133192375670","1","0","924.375","-64.5","3.71836942983479","213.046875",""
"AAAA ABCD ABCD ABCD ABCD E019","3.81","1414133192396440","1","0","924.375","-64","1.12900985988383","64.6875",""
"AAAA ABCD ABCD ABCD ABCD E019","4.06","1414133192429366","1","0","924.375","-63","1.95735948534208","112.1484375",""
"AAAA ABCD ABCD ABCD ABCD E019","4.38","1414133192449024","1","0","924.375","-62.5","5.66345706887379","324.4921875",""
"AAAA ABCD ABCD ABCD ABCD E019","4.06","1414133192488600","1","0","924.375","-62.5","0.987883627398353","56.6015625",""
"AAAA ABCD ABCD ABCD ABCD E019","1.81","1414133192512898","1","0","924.375","-63.5","1.86532063806894","106.875",""
"AAAA ABCD ABCD ABCD ABCD E019","4.38","1414133192534709","1","0","924.375","-65.5","5.80458330135927","332.578125",""
"AAAA ABCD ABCD ABCD ABCD E019","4.38","1414133192665033","1","0","924.375","-62","5.06213660002262","290.0390625",""
"AAAA ABCD ABCD ABCD ABCD E019","4.56","1414133192695681","1","0","924.375","-62.5","6.11137945893639","350.15625",""
"AAAA ABCD ABCD ABCD ABCD E019","1.50","1414133192719365","1","0","924.375","-63","0.632000084608884","36.2109375",""
