"EPC","DopplerShift(Hz)","Time","Antenna","TxPower","Frequency(MHz)","RSS(dbm)","PhaseAngle(Radian)","PhaseAngle(Degree)",""
"ABAB ABAB ABAB ABAB ABAB 0017","0.00","1414999671495255","1","0","924.375","-47.5","0.42951462060798","24.609375",""
"ABAB ABAB ABAB ABAB ABAB 0018","0.00","1414999671500093","1","0","924.375","-51","1.52170894158256","87.1875",""
"ABAB ABAB ABAB ABAB ABAB 000F","1.31","1414999671510220","1","0","924.375","-52","4.8719229823248","279.140625",""
"ABAB ABAB ABAB ABAB ABAB 0017","2.56","1414999671525256","1","0","924.375","-48","0.423378697456437","24.2578125",""
"ABAB ABAB ABAB ABAB ABAB 3137","1.81","1414999671529262","1","0","924.375","-57","6.17273869045182","353.671875",""
"ABAB ABAB ABAB ABAB ABAB 3120","1.81","1414999671532668","1","0","924.375","-57.5","5.0314569842649","288.28125",""
"ABAB ABAB ABAB ABAB ABAB 3125","3.94","1414999671539975","1","0","924.375","-63.5","3.61405873625857","207.0703125",""
"ABAB ABAB ABAB ABAB ABAB 0015","1.19","1414999671546071","1","0","924.375","-62","0.558369006790373","31.9921875",""
"ABAB ABAB ABAB ABAB ABAB 000F","1.94","1414999671550747","1","0","924.375","-52","4.86578705917325","278.7890625",""
"ABAB ABAB ABAB ABAB ABAB 3148","0.88","1414999671554238","1","0","924.375","-52.5","1.39285455540016","79.8046875",""
"ABAB ABAB ABAB ABAB ABAB 3147","1.19","1414999671558879","1","0","924.375","-63","4.99464144535565","286.171875",""
"ABAB ABAB ABAB ABAB ABAB 0016","1.81","1414999671563601","1","0","924.375","-59.5","0.104310693576224","5.9765625",""
"ABAB ABAB ABAB ABAB ABAB 0018","1.19","1414999671567694","1","0","924.375","-51","1.54625263418873","88.59375",""
"ABAB ABAB ABAB ABAB ABAB 0015","1.19","1414999671598135","1","0","924.375","-62","0.546097160487288","31.2890625",""
"ABAB ABAB ABAB ABAB ABAB 3137","2.13","1414999671601453","1","0","924.375","-57","6.14205907469411","351.9140625",""
"ABAB ABAB ABAB ABAB ABAB 0017","1.81","1414999671605516","1","0","924.375","-48","3.52815581213697","202.1484375",""
"ABAB ABAB ABAB ABAB ABAB 3147","0.56","1414999671609487","1","0","924.375","-62.5","5.00691329165873","286.875",""
"ABAB ABAB ABAB ABAB ABAB 3120","0.25","1414999671613456","1","0","924.375","-58","5.04372883056799","288.984375",""
"ABAB ABAB ABAB ABAB ABAB 3125","0.25","1414999671619474","1","0","924.375","-63.5","0.539961237335746","30.9375",""
"ABAB ABAB ABAB ABAB ABAB 000F","1.63","1414999671623443","1","0","924.375","-52","4.85351521287017","278.0859375",""
"ABAB ABAB ABAB ABAB ABAB 3148","1.19","1414999671628389","1","0","924.375","-52.5","4.52831128583841","259.453125",""
"ABAB ABAB ABAB ABAB ABAB 0016","3.81","1414999671634525","1","0","924.375","-59.5","0.0552233083638831","3.1640625",""
"ABAB ABAB ABAB ABAB ABAB 0018","0.88","1414999671637870","1","0","924.375","-51","1.5278448647341","87.5390625",""
"ABAB ABAB ABAB ABAB ABAB 3148","1.81","1414999671654447","1","0","924.375","-52.5","4.53444720898996","259.8046875",""
"ABAB ABAB ABAB ABAB ABAB 3120","3.50","1414999671658502","1","0","924.375","-58","1.86532063806894","106.875",""
"ABAB ABAB ABAB ABAB ABAB 0015","0.88","1414999671661841","1","0","924.375","-62","0.533825314184203","30.5859375",""
"ABAB ABAB ABAB ABAB ABAB 3137","2.56","1414999671665904","1","0","924.375","-57","6.15433092099719","352.6171875",""
"ABAB ABAB ABAB ABAB ABAB 3125","3.94","1414999671671221","1","0","924.375","-63.5","3.63860242886474","208.4765625",""
"ABAB ABAB ABAB ABAB ABAB 0016","3.50","1414999671675247","1","0","924.375","-59.5","0.0490873852123405","2.8125",""
"ABAB ABAB ABAB ABAB ABAB 0017","0.88","1414999671679235","1","0","924.375","-48","0.404970928001809","23.203125",""
"ABAB ABAB ABAB ABAB ABAB 000F","1.94","1414999671683136","1","0","924.375","-52","4.84737928971863","277.734375",""
"ABAB ABAB ABAB ABAB ABAB 3147","2.88","1414999671690831","1","0","924.375","-62.5","4.96396182959793","284.4140625",""
"ABAB ABAB ABAB ABAB ABAB 0018","1.81","1414999671694265","1","0","924.375","-51","1.52170894158256","87.1875",""
"ABAB ABAB ABAB ABAB ABAB 0017","1.19","1414999671717628","1","0","924.375","-48","0.392699081698724","22.5",""
"ABAB ABAB ABAB ABAB ABAB 3120","3.81","1414999671721212","1","0","924.375","-58","4.99464144535565","286.171875",""
