"EPC","DopplerShift(Hz)","Time","Antenna","TxPower","Frequency(MHz)","RSS(dbm)","PhaseAngle(Radian)","PhaseAngle(Degree)",""
"ABAB ABAB ABAB ABAB ABAB 0017","2.88","1414999846846964","1","0","924.375","-47.5","0.325203927031756","18.6328125",""
"ABAB ABAB ABAB ABAB ABAB 3137","1.81","1414999846853121","1","0","924.375","-57","6.09297168948177","349.1015625",""
"ABAB ABAB ABAB ABAB ABAB 0018","1.31","1414999846857097","1","0","924.375","-51","1.46034971006713","83.671875",""
"ABAB ABAB ABAB ABAB ABAB 0016","3.19","1414999846861138","1","0","924.375","-58.5","0.128854386182394","7.3828125",""
"ABAB ABAB ABAB ABAB ABAB 3147","0.56","1414999846864420","1","0","924.375","-62.5","4.97009775274948","284.765625",""
"ABAB ABAB ABAB ABAB ABAB 3125","2.13","1414999846869717","1","0","924.375","-64.5","0.447922390062607","25.6640625",""
"ABAB ABAB ABAB ABAB ABAB 000F","1.81","1414999846874329","1","0","924.375","-52","4.8719229823248","279.140625",""
"ABAB ABAB ABAB ABAB ABAB 3148","1.19","1414999846877839","1","0","924.375","-52.5","4.47922390062607","256.640625",""
"ABAB ABAB ABAB ABAB ABAB 3120","2.13","1414999846881144","1","0","924.375","-57.5","1.9021361769782","108.984375",""
"ABAB ABAB ABAB ABAB ABAB 0015","-1.19","1414999846888088","1","0","924.375","-60.5","0.472466082668777","27.0703125",""
"ABAB ABAB ABAB ABAB ABAB 0017","1.50","1414999846901499","1","0","924.375","-47.5","0.362019465941011","20.7421875",""
"ABAB ABAB ABAB ABAB ABAB 3120","1.19","1414999846905439","1","0","924.375","-57.5","5.06213660002262","290.0390625",""
"ABAB ABAB ABAB ABAB ABAB 3147","1.19","1414999846909363","1","0","924.375","-62.5","4.99464144535565","286.171875",""
"ABAB ABAB ABAB ABAB ABAB 0015","1.81","1414999846913261","1","0","924.375","-60.5","0.411106851153352","23.5546875",""
"ABAB ABAB ABAB ABAB ABAB 3148","1.81","1414999846917355","1","0","924.375","-52.5","4.47308797747453","256.2890625",""
"ABAB ABAB ABAB ABAB ABAB 000F","1.50","1414999846921994","1","0","924.375","-52.5","4.89646667493097","280.546875",""
"ABAB ABAB ABAB ABAB ABAB 0016","3.19","1414999846925315","1","0","924.375","-58.5","0.159534001940107","9.140625",""
"ABAB ABAB ABAB ABAB ABAB 3125","1.31","1414999846934481","1","0","924.375","-64.5","0.460194236365692","26.3671875",""
"ABAB ABAB ABAB ABAB ABAB 3137","0.88","1414999846942394","1","0","924.375","-57","6.10524353578485","349.8046875",""
"ABAB ABAB ABAB ABAB ABAB 0018","2.13","1414999846949467","1","0","924.375","-51.5","1.4848934026733","85.078125",""
"ABAB ABAB ABAB ABAB ABAB 3125","0.56","1414999846972866","1","0","924.375","-64.5","0.472466082668777","27.0703125",""
"ABAB ABAB ABAB ABAB ABAB 0015","2.56","1414999846979493","1","0","924.375","-60.5","0.423378697456437","24.2578125",""
"ABAB ABAB ABAB ABAB ABAB 0018","1.63","1414999846984061","1","0","924.375","-51","4.62035013311155","264.7265625",""
"ABAB ABAB ABAB ABAB ABAB 3137","1.19","1414999846988007","1","0","924.375","-57","6.09297168948177","349.1015625",""
"ABAB ABAB ABAB ABAB ABAB 0016","2.88","1414999846991309","1","0","924.375","-58.5","0.165669925091649","9.4921875",""
"ABAB ABAB ABAB ABAB ABAB 000F","1.50","1414999846995909","1","0","924.375","-52","4.89033075177942","280.1953125",""
"ABAB ABAB ABAB ABAB ABAB 3120","3.19","1414999846999315","1","0","924.375","-57.5","1.88986433067511","108.28125",""
"ABAB ABAB ABAB ABAB ABAB 0017","2.56","1414999847002621","1","0","924.375","-47.5","0.337475773334841","19.3359375",""
"ABAB ABAB ABAB ABAB ABAB 3147","1.81","1414999847008760","1","0","924.375","-62.5","5.04372883056799","288.984375",""
