"EPC","DopplerShift(Hz)","Time","Antenna","TxPower","Frequency(MHz)","RSS(dbm)","PhaseAngle(Radian)","PhaseAngle(Degree)",""
"ABAB ABAB ABAB ABAB ABAB 3147","1.19","1414999942984691","1","0","924.375","-62","5.09281621578033","291.796875",""
"ABAB ABAB ABAB ABAB ABAB 000F","1.50","1414999942990815","1","0","924.375","-52","4.8719229823248","279.140625",""
"ABAB ABAB ABAB ABAB ABAB 3120","2.56","1414999942994163","1","0","924.375","-58","1.84691286861431","105.8203125",""
"ABAB ABAB ABAB ABAB ABAB 0018","1.50","1414999942998932","1","0","924.375","-51.5","1.42967009430942","81.9140625",""
"ABAB ABAB ABAB ABAB ABAB 0017","0.56","1414999943002255","1","0","924.375","-48","0.343611696486384","19.6875",""
"ABAB ABAB ABAB ABAB ABAB 3137","0.88","1414999943005611","1","0","924.375","-56.5","6.06229207372405","347.34375",""
"ABAB ABAB ABAB ABAB ABAB 3125","0.88","1414999943010273","1","0","924.375","-63.5","3.74291312244096","214.453125",""
"ABAB ABAB ABAB ABAB ABAB 3148","1.50","1414999943013723","1","0","924.375","-52.5","4.44240836171682","254.53125",""
"ABAB ABAB ABAB ABAB ABAB 0016","3.19","1414999943021208","1","0","924.375","-59","0.0859029241215959","4.921875",""
"ABAB ABAB ABAB ABAB ABAB 0015","0.56","1414999943026759","1","0","924.375","-60","0.355883542789469","20.390625",""
"ABAB ABAB ABAB ABAB ABAB 000F","2.25","1414999943044306","1","0","924.375","-52.5","4.87805890547634","279.4921875",""
"ABAB ABAB ABAB ABAB ABAB 0017","2.56","1414999943048238","1","0","924.375","-48","3.47293250377309","198.984375",""
"ABAB ABAB ABAB ABAB ABAB 3120","3.50","1414999943054214","1","0","924.375","-58","1.8591847149174","106.5234375",""
"ABAB ABAB ABAB ABAB ABAB 3148","1.50","1414999943058252","1","0","924.375","-52.5","4.44854428486836","254.8828125",""
"ABAB ABAB ABAB ABAB ABAB 3147","2.88","1414999943061616","1","0","924.375","-62","5.08054436947724","291.09375",""
"ABAB ABAB ABAB ABAB ABAB 0018","1.50","1414999943066958","1","0","924.375","-51.5","1.4419419406125","82.6171875",""
"ABAB ABAB ABAB ABAB ABAB 0015","0.25","1414999943070336","1","0","924.375","-60.5","0.374291312244096","21.4453125",""
"ABAB ABAB ABAB ABAB ABAB 3137","1.50","1414999943075142","1","0","924.375","-56.5","6.0684279968756","347.6953125",""
"ABAB ABAB ABAB ABAB ABAB 0016","1.50","1414999943078540","1","0","924.375","-59","0.128854386182394","7.3828125",""
"ABAB ABAB ABAB ABAB ABAB 3125","3.19","1414999943083177","1","0","924.375","-63.5","3.72450535298634","213.3984375",""
"ABAB ABAB ABAB ABAB ABAB 0016","1.19","1414999943105890","1","0","924.375","-58.5","0.0920388472731385","5.2734375",""
"ABAB ABAB ABAB ABAB ABAB 3125","-2.25","1414999943111971","1","0","924.375","-63.5","3.73677719928942","214.1015625",""
"ABAB ABAB ABAB ABAB ABAB 000F","2.25","1414999943117256","1","0","924.375","-52.5","4.86578705917325","278.7890625",""
"ABAB ABAB ABAB ABAB ABAB 3148","2.56","1414999943121971","1","0","924.375","-52.5","1.2824079386724","73.4765625",""
"ABAB ABAB ABAB ABAB ABAB 0017","0.56","1414999943126692","1","0","924.375","-48","0.349747619637926","20.0390625",""
"ABAB ABAB ABAB ABAB ABAB 0015","1.81","1414999943129973","1","0","924.375","-60","0.331339850183298","18.984375",""
"ABAB ABAB ABAB ABAB ABAB 3120","-0.25","1414999943133377","1","0","924.375","-58","5.03759290741645","288.6328125",""
"ABAB ABAB ABAB ABAB ABAB 3137","1.81","1414999943138036","1","0","924.375","-56.5","6.04388430426943","346.2890625",""
"ABAB ABAB ABAB ABAB ABAB 3147","0.56","1414999943144320","1","0","924.375","-62","5.09895213893187","292.1484375",""
"ABAB ABAB ABAB ABAB ABAB 0018","3.19","1414999943148929","1","0","924.375","-51.5","1.41126232485479","80.859375",""
"ABAB ABAB ABAB ABAB ABAB 0018","1.19","1414999943161352","1","0","924.375","-51.5","1.43580601746096","82.265625",""
