"EPC","DopplerShift(Hz)","Time","Antenna","TxPower","Frequency(MHz)","RSS(dbm)","PhaseAngle(Radian)","PhaseAngle(Degree)",""
"ABAB ABAB ABAB ABAB ABAB 0017","1.81","1414999532909370","1","0","924.375","-48","3.5036121195308","200.7421875",""
"ABAB ABAB ABAB ABAB ABAB 0018","0.88","1414999532912864","1","0","924.375","-52","1.47262155637022","84.375",""
"ABAB ABAB ABAB ABAB ABAB 3137","1.81","1414999532916962","1","0","924.375","-57.5","6.19114645990645","354.7265625",""
"ABAB ABAB ABAB ABAB ABAB 3120","0.56","1414999532920226","1","0","924.375","-57.5","5.12963175468958","293.90625",""
"ABAB ABAB ABAB ABAB ABAB 3147","0.88","1414999532923467","1","0","924.375","-62","4.97623367590102","285.1171875",""
"ABAB ABAB ABAB ABAB ABAB 3148","1.81","1414999532926898","1","0","924.375","-52.5","4.50990351638379","258.3984375",""
"ABAB ABAB ABAB ABAB ABAB 0016","1.19","1414999532933480","1","0","924.375","-59","0.134990309333936","7.734375",""
"ABAB ABAB ABAB ABAB ABAB 000F","1.63","1414999532936793","1","0","924.375","-52","4.88419482862788","279.84375",""
"ABAB ABAB ABAB ABAB ABAB 0015","1.50","1414999532946577","1","0","924.375","-61","0.687223392972767","39.375",""
"ABAB ABAB ABAB ABAB ABAB 0018","2.25","1414999532958527","1","0","924.375","-52","1.46034971006713","83.671875",""
"ABAB ABAB ABAB ABAB ABAB 3125","1.50","1414999532963156","1","0","924.375","-64","0.472466082668777","27.0703125",""
"ABAB ABAB ABAB ABAB ABAB 0015","1.19","1414999532966455","1","0","924.375","-61","0.69335931612431","39.7265625",""
"ABAB ABAB ABAB ABAB ABAB 000F","2.13","1414999532972348","1","0","924.375","-52","4.88419482862788","279.84375",""
"ABAB ABAB ABAB ABAB ABAB 3148","1.81","1414999532975799","1","0","924.375","-52.5","1.36831086279399","78.3984375",""
"ABAB ABAB ABAB ABAB ABAB 3137","0.56","1414999532984441","1","0","924.375","-57.5","6.22182607566416","356.484375",""
"ABAB ABAB ABAB ABAB ABAB 0017","1.81","1414999532991218","1","0","924.375","-48","0.368155389092554","21.09375",""
"ABAB ABAB ABAB ABAB ABAB 3147","2.88","1414999532994520","1","0","924.375","-62","4.99464144535565","286.171875",""
"ABAB ABAB ABAB ABAB ABAB 3120","1.81","1414999532997904","1","0","924.375","-58","5.10508806208341","292.5",""
"ABAB ABAB ABAB ABAB ABAB 0016","1.50","1414999533003254","1","0","924.375","-59.5","0.177941771394734","10.1953125",""
"ABAB ABAB ABAB ABAB ABAB 0018","0.25","1414999533024713","1","0","924.375","-52","1.47262155637022","84.375",""
"ABAB ABAB ABAB ABAB ABAB 0015","1.50","1414999533027996","1","0","924.375","-60.5","0.662679700366597","37.96875",""
"ABAB ABAB ABAB ABAB ABAB 3120","1.50","1414999533032630","1","0","924.375","-57.5","1.96349540849362","112.5",""
"ABAB ABAB ABAB ABAB ABAB 3147","2.13","1414999533037178","1","0","924.375","-62","5.0314569842649","288.28125",""
"ABAB ABAB ABAB ABAB ABAB 3137","1.19","1414999533040418","1","0","924.375","-57.5","6.20341830620953","355.4296875",""
"ABAB ABAB ABAB ABAB ABAB 3148","0.00","1414999533043925","1","0","924.375","-52.5","4.51603943953533","258.75",""
"ABAB ABAB ABAB ABAB ABAB 0017","0.88","1414999533047918","1","0","924.375","-48","0.362019465941011","20.7421875",""
"ABAB ABAB ABAB ABAB ABAB 000F","1.19","1414999533056546","1","0","924.375","-52","1.74873809818963","100.1953125",""
"ABAB ABAB ABAB ABAB ABAB 3125","0.25","1414999533059822","1","0","924.375","-64","3.60178688995549","206.3671875",""
"ABAB ABAB ABAB ABAB ABAB 0016","3.50","1414999533072420","1","0","924.375","-59.5","0.171805848243192","9.84375",""
"ABAB ABAB ABAB ABAB ABAB 0015","1.50","1414999533090739","1","0","924.375","-60.5","0.638136007760427","36.5625",""
"ABAB ABAB ABAB ABAB ABAB 000F","1.19","1414999533096148","1","0","924.375","-52","4.89033075177942","280.1953125",""
"ABAB ABAB ABAB ABAB ABAB 3120","2.13","1414999533099493","1","0","924.375","-57.5","1.94508763903899","111.4453125",""
"ABAB ABAB ABAB ABAB ABAB 0016","2.88","1414999533104070","1","0","924.375","-59.5","0.177941771394734","10.1953125",""
"ABAB ABAB ABAB ABAB ABAB 0018","1.81","1414999533108184","1","0","924.375","-52","1.47875747952176","84.7265625",""
"ABAB ABAB ABAB ABAB ABAB 3148","1.19","1414999533111655","1","0","924.375","-52.5","4.50376759323224","258.046875",""
"ABAB ABAB ABAB ABAB ABAB 3137","0.56","1414999533116290","1","0","924.375","-57.5","6.20341830620953","355.4296875",""
"ABAB ABAB ABAB ABAB ABAB 0017","3.19","1414999533121573","1","0","924.375","-48","0.362019465941011","20.7421875",""
"ABAB ABAB ABAB ABAB ABAB 3125","0.25","1414999533126293","1","0","924.375","-64","0.47860200582032","27.421875",""
"ABAB ABAB ABAB ABAB ABAB 3147","0.25","1414999533130481","1","0","924.375","-62","5.04372883056799","288.984375",""
"ABAB ABAB ABAB ABAB ABAB 0018","0.88","1414999533152433","1","0","924.375","-52","1.4848934026733","85.078125",""
"ABAB ABAB ABAB ABAB ABAB 3147","2.56","1414999533159184","1","0","924.375","-62","5.0314569842649","288.28125",""
"ABAB ABAB ABAB ABAB ABAB 3137","1.50","1414999533163863","1","0","924.375","-57.5","6.17273869045182","353.671875",""
"ABAB ABAB ABAB ABAB ABAB 3120","2.13","1414999533167208","1","0","924.375","-57.5","1.95735948534208","112.1484375",""
"ABAB ABAB ABAB ABAB ABAB 0016","3.81","1414999533171114","1","0","924.375","-59.5","0.184077694546277","10.546875",""
"ABAB ABAB ABAB ABAB ABAB 000F","3.50","1414999533174372","1","0","924.375","-52","4.86578705917325","278.7890625",""
"ABAB ABAB ABAB ABAB ABAB 0015","1.81","1414999533177652","1","0","924.375","-60.5","0.576776776245001","33.046875",""
"ABAB ABAB ABAB ABAB ABAB 0017","0.56","1414999533181669","1","0","924.375","-48","0.368155389092554","21.09375",""
"ABAB ABAB ABAB ABAB ABAB 3125","0.25","1414999533185588","1","0","924.375","-64","0.490873852123405","28.125",""
"ABAB ABAB ABAB ABAB ABAB 3148","1.81","1414999533189040","1","0","924.375","-52.5","4.50990351638379","258.3984375",""
"ABAB ABAB ABAB ABAB ABAB 3147","3.81","1414999533208031","1","0","924.375","-62","5.02532106111336","287.9296875",""
"ABAB ABAB ABAB ABAB ABAB 3148","1.19","1414999533212116","1","0","924.375","-52.5","4.50376759323224","258.046875",""
"ABAB ABAB ABAB ABAB ABAB 0016","1.81","1414999533218184","1","0","924.375","-59.5","0.171805848243192","9.84375",""
"ABAB ABAB ABAB ABAB ABAB 3120","3.19","1414999533223571","1","0","924.375","-57.5","1.94508763903899","111.4453125",""
"ABAB ABAB ABAB ABAB ABAB 0015","0.88","1414999533227507","1","0","924.375","-60.5","0.582912699396544","33.3984375",""
"ABAB ABAB ABAB ABAB ABAB 0017","0.88","1414999533232799","1","0","924.375","-48","0.362019465941011","20.7421875",""
"ABAB ABAB ABAB ABAB ABAB 3137","0.25","1414999533236795","1","0","924.375","-57.5","6.18501053675491","354.375",""
"ABAB ABAB ABAB ABAB ABAB 000F","0.25","1414999533243208","1","0","924.375","-52","1.7732817907958","101.6015625",""
"ABAB ABAB ABAB ABAB ABAB 0018","0.25","1414999533246624","1","0","924.375","-52","1.49102932582484","85.4296875",""
"ABAB ABAB ABAB ABAB ABAB 3125","3.81","1414999533249965","1","0","924.375","-64","0.466330159517235","26.71875",""
"ABAB ABAB ABAB ABAB ABAB 3137","2.13","1414999533274522","1","0","924.375","-57","6.15433092099719","352.6171875",""
"ABAB ABAB ABAB ABAB ABAB 0018","1.63","1414999533279799","1","0","924.375","-51.5","1.47262155637022","84.375",""
"ABAB ABAB ABAB ABAB ABAB 000F","0.88","1414999533283719","1","0","924.375","-52","4.88419482862788","279.84375",""
"ABAB ABAB ABAB ABAB ABAB 3120","2.13","1414999533288347","1","0","924.375","-57.5","5.09281621578033","291.796875",""
"ABAB ABAB ABAB ABAB ABAB 0017","1.50","1414999533292334","1","0","924.375","-48","3.49134027322772","200.0390625",""
"ABAB ABAB ABAB ABAB ABAB 3148","0.56","1414999533297737","1","0","924.375","-52.5","4.50990351638379","258.3984375",""
"ABAB ABAB ABAB ABAB ABAB 3147","0.00","1414999533304279","1","0","924.375","-62","5.0314569842649","288.28125",""
"ABAB ABAB ABAB ABAB ABAB 0015","2.13","1414999533310246","1","0","924.375","-60.5","0.570640853093458","32.6953125",""
"ABAB ABAB ABAB ABAB ABAB 0016","1.19","1414999533313589","1","0","924.375","-59.5","0.147262155637022","8.4375",""
"ABAB ABAB ABAB ABAB ABAB 3125","0.25","1414999533323673","1","0","924.375","-64","0.50314569842649","28.828125",""
"ABAB ABAB ABAB ABAB ABAB 0016","1.81","1414999533339423","1","0","924.375","-59.5","0.159534001940107","9.140625",""
"ABAB ABAB ABAB ABAB ABAB 0015","2.88","1414999533346907","1","0","924.375","-60.5","0.576776776245001","33.046875",""
"ABAB ABAB ABAB ABAB ABAB 000F","1.19","1414999533351035","1","0","924.375","-52","4.87805890547634","279.4921875",""
"ABAB ABAB ABAB ABAB ABAB 0017","0.88","1414999533355032","1","0","924.375","-48","0.362019465941011","20.7421875",""
"ABAB ABAB ABAB ABAB ABAB 3120","0.00","1414999533358414","1","0","924.375","-57.5","5.13576767784113","294.2578125",""
"ABAB ABAB ABAB ABAB ABAB 3125","0.56","1414999533361753","1","0","924.375","-64","0.484737928971863","27.7734375",""
"ABAB ABAB ABAB ABAB ABAB 3147","0.00","1414999533365131","1","0","924.375","-62","5.06213660002262","290.0390625",""
"ABAB ABAB ABAB ABAB ABAB 3137","1.81","1414999533368475","1","0","924.375","-57","6.14819499784565","352.265625",""
"ABAB ABAB ABAB ABAB ABAB 3148","2.56","1414999533373830","1","0","924.375","-52.5","1.33763124703628","76.640625",""
"ABAB ABAB ABAB ABAB ABAB 0018","2.56","1414999533377937","1","0","924.375","-52","1.47262155637022","84.375",""
"ABAB ABAB ABAB ABAB ABAB 0017","2.13","1414999533399808","1","0","924.375","-48","3.49747619637926","200.390625",""
"ABAB ABAB ABAB ABAB ABAB 3147","0.56","1414999533403754","1","0","924.375","-62","5.04986475371953","289.3359375",""
"ABAB ABAB ABAB ABAB ABAB 0018","0.88","1414999533410075","1","0","924.375","-52","1.47262155637022","84.375",""
"ABAB ABAB ABAB ABAB ABAB 3120","2.88","1414999533414144","1","0","924.375","-57.5","1.96349540849362","112.5",""
"ABAB ABAB ABAB ABAB ABAB 3148","2.44","1414999533418888","1","0","924.375","-52.5","1.36217493964245","78.046875",""
"ABAB ABAB ABAB ABAB ABAB 000F","1.81","1414999533422788","1","0","924.375","-52","4.8719229823248","279.140625",""
"ABAB ABAB ABAB ABAB ABAB 3125","3.50","1414999533427534","1","0","924.375","-64","0.472466082668777","27.0703125",""
"ABAB ABAB ABAB ABAB ABAB 3137","1.81","1414999533432711","1","0","924.375","-57","6.15433092099719","352.6171875",""
"ABAB ABAB ABAB ABAB ABAB 0016","2.88","1414999533437578","1","0","924.375","-59.5","0.0920388472731385","5.2734375",""
"ABAB ABAB ABAB ABAB ABAB 0015","3.19","1414999533443602","1","0","924.375","-60.5","0.546097160487288","31.2890625",""
"ABAB ABAB ABAB ABAB ABAB 0018","0.56","1414999533455835","1","0","924.375","-52","1.47875747952176","84.7265625",""
"ABAB ABAB ABAB ABAB ABAB 0015","1.50","1414999533459177","1","0","924.375","-60.5","0.582912699396544","33.3984375",""
"ABAB ABAB ABAB ABAB ABAB 3137","1.50","1414999533467317","1","0","924.375","-57","6.17273869045182","353.671875",""
"ABAB ABAB ABAB ABAB ABAB 3148","1.50","1414999533471380","1","0","924.375","-52.5","4.4976316700807","257.6953125",""
"ABAB ABAB ABAB ABAB ABAB 3147","0.25","1414999533474721","1","0","924.375","-62","5.04986475371953","289.3359375",""
"ABAB ABAB ABAB ABAB ABAB 3125","0.88","1414999533478677","1","0","924.375","-64","0.521553467881118","29.8828125",""
"ABAB ABAB ABAB ABAB ABAB 3120","0.56","1414999533483313","1","0","924.375","-57.5","1.99417502425133","114.2578125",""
"ABAB ABAB ABAB ABAB ABAB 0017","2.13","1414999533486619","1","0","924.375","-48","0.349747619637926","20.0390625",""
"ABAB ABAB ABAB ABAB ABAB 0016","1.50","1414999533489939","1","0","924.375","-59.5","0.128854386182394","7.3828125",""
"ABAB ABAB ABAB ABAB ABAB 000F","1.63","1414999533493294","1","0","924.375","-52","4.8719229823248","279.140625",""
"ABAB ABAB ABAB ABAB ABAB 0018","0.56","1414999533520405","1","0","924.375","-52","1.49102932582484","85.4296875",""
"ABAB ABAB ABAB ABAB ABAB 0016","1.50","1414999533525789","1","0","924.375","-59.5","0.110446616727766","6.328125",""
"ABAB ABAB ABAB ABAB ABAB 3120","0.88","1414999533529114","1","0","924.375","-57.5","1.99417502425133","114.2578125",""
"ABAB ABAB ABAB ABAB ABAB 3148","1.31","1414999533535816","1","0","924.375","-52.5","4.51603943953533","258.75",""
"ABAB ABAB ABAB ABAB ABAB 0017","1.19","1414999533539179","1","0","924.375","-48","3.51588396583389","201.4453125",""
"ABAB ABAB ABAB ABAB ABAB 000F","2.13","1414999533544421","1","0","924.375","-52","4.86578705917325","278.7890625",""
"ABAB ABAB ABAB ABAB ABAB 0015","3.19","1414999533550294","1","0","924.375","-60.5","0.595184545699629","34.1015625",""
"ABAB ABAB ABAB ABAB ABAB 3137","1.50","1414999533554271","1","0","924.375","-57","6.16046684414874","352.96875",""
"ABAB ABAB ABAB ABAB ABAB 3147","0.25","1414999533558897","1","0","924.375","-62","5.05600067687107","289.6875",""
"ABAB ABAB ABAB ABAB ABAB 3125","1.31","1414999533566595","1","0","924.375","-64","3.62633058256166","207.7734375",""
"ABAB ABAB ABAB ABAB ABAB 0018","0.25","1414999533582901","1","0","924.375","-52","1.4848934026733","85.078125",""
"ABAB ABAB ABAB ABAB ABAB 3137","2.13","1414999533587619","1","0","924.375","-57","6.14819499784565","352.265625",""
"ABAB ABAB ABAB ABAB ABAB 3148","3.19","1414999533591131","1","0","924.375","-52.5","4.50376759323224","258.046875",""
"ABAB ABAB ABAB ABAB ABAB 3147","4.69","1414999533595823","1","0","924.375","-62","4.99464144535565","286.171875",""
"ABAB ABAB ABAB ABAB ABAB 000F","2.25","1414999533599198","1","0","924.375","-52","4.86578705917325","278.7890625",""
"ABAB ABAB ABAB ABAB ABAB 3125","-0.56","1414999533604462","1","0","924.375","-64","3.65701019831937","209.53125",""
"ABAB ABAB ABAB ABAB ABAB 0017","1.81","1414999533608413","1","0","924.375","-48","3.50974804268235","201.09375",""
"ABAB ABAB ABAB ABAB ABAB 0015","3.19","1414999533611732","1","0","924.375","-60.5","0.589048622548086","33.75",""
"ABAB ABAB ABAB ABAB ABAB 3120","3.81","1414999533615941","1","0","924.375","-57.5","1.96349540849362","112.5",""
"ABAB ABAB ABAB ABAB ABAB 0016","2.13","1414999533620787","1","0","924.375","-59.5","0.104310693576224","5.9765625",""
"ABAB ABAB ABAB ABAB ABAB 3137","2.88","1414999533643432","1","0","924.375","-57","6.14205907469411","351.9140625",""
"ABAB ABAB ABAB ABAB ABAB 0018","0.56","1414999533652969","1","0","924.375","-52","1.49716524897639","85.78125",""
"ABAB ABAB ABAB ABAB ABAB 0016","2.88","1414999533656271","1","0","924.375","-59.5","0.0920388472731385","5.2734375",""
"ABAB ABAB ABAB ABAB ABAB 3125","2.88","1414999533660258","1","0","924.375","-64","0.466330159517235","26.71875",""
"ABAB ABAB ABAB ABAB ABAB 000F","1.50","1414999533664230","1","0","924.375","-52","1.72419440558346","98.7890625",""
"ABAB ABAB ABAB ABAB ABAB 3120","2.56","1414999533668847","1","0","924.375","-57.5","5.1173599083865","293.203125",""
"ABAB ABAB ABAB ABAB ABAB 3148","2.56","1414999533672934","1","0","924.375","-52.5","1.34376717018782","76.9921875",""
"ABAB ABAB ABAB ABAB ABAB 0017","1.50","1414999533678222","1","0","924.375","-48","0.355883542789469","20.390625",""
"ABAB ABAB ABAB ABAB ABAB 0015","2.88","1414999533682986","1","0","924.375","-60","0.582912699396544","33.3984375",""
"ABAB ABAB ABAB ABAB ABAB 3147","2.13","1414999533686308","1","0","924.375","-62","5.02532106111336","287.9296875",""
"ABAB ABAB ABAB ABAB ABAB 3147","-0.25","1414999533702826","1","0","924.375","-62","5.0314569842649","288.28125",""
"ABAB ABAB ABAB ABAB ABAB 0016","-1.19","1414999533706806","1","0","924.375","-59.5","0.147262155637022","8.4375",""
"ABAB ABAB ABAB ABAB ABAB 3125","0.88","1414999533710723","1","0","924.375","-64","0.472466082668777","27.0703125",""
"ABAB ABAB ABAB ABAB ABAB 3137","2.13","1414999533715701","1","0","924.375","-57.5","6.14205907469411","351.9140625",""
"ABAB ABAB ABAB ABAB ABAB 0015","1.81","1414999533722940","1","0","924.375","-60","0.546097160487288","31.2890625",""
"ABAB ABAB ABAB ABAB ABAB 3148","2.13","1414999533729045","1","0","924.375","-52.5","4.49149574692916","257.34375",""
"ABAB ABAB ABAB ABAB ABAB 000F","2.56","1414999533735742","1","0","924.375","-52","4.85351521287017","278.0859375",""
"ABAB ABAB ABAB ABAB ABAB 0017","1.81","1414999533740476","1","0","924.375","-48","0.343611696486384","19.6875",""
"ABAB ABAB ABAB ABAB ABAB 0018","1.63","1414999533748713","1","0","924.375","-52","4.65716567202081","266.8359375",""
"ABAB ABAB ABAB ABAB ABAB 3120","0.25","1414999533753439","1","0","924.375","-57.5","1.98190317794825","113.5546875",""
"ABAB ABAB ABAB ABAB ABAB 3125","0.25","1414999533774605","1","0","924.375","-64","0.466330159517235","26.71875",""
"ABAB ABAB ABAB ABAB ABAB 3147","1.50","1414999533779944","1","0","924.375","-62","5.01304921481028","287.2265625",""
"ABAB ABAB ABAB ABAB ABAB 0018","1.19","1414999533783358","1","0","924.375","-52","1.53398078788564","87.890625",""
"ABAB ABAB ABAB ABAB ABAB 0015","1.19","1414999533787385","1","0","924.375","-60","0.582912699396544","33.3984375",""
"ABAB ABAB ABAB ABAB ABAB 0017","1.19","1414999533792101","1","0","924.375","-48","0.362019465941011","20.7421875",""
"ABAB ABAB ABAB ABAB ABAB 0016","-0.25","1414999533795418","1","0","924.375","-59.5","0.122718463030851","7.03125",""
"ABAB ABAB ABAB ABAB ABAB 3120","2.56","1414999533802730","1","0","924.375","-57.5","5.09895213893187","292.1484375",""
"ABAB ABAB ABAB ABAB ABAB 000F","1.19","1414999533807600","1","0","924.375","-52","1.71805848243192","98.4375",""
"ABAB ABAB ABAB ABAB ABAB 3148","2.44","1414999533811815","1","0","924.375","-52.5","4.48535982377761","256.9921875",""
"ABAB ABAB ABAB ABAB ABAB 3137","-1.19","1414999533815174","1","0","924.375","-57.5","6.20955422936108","355.78125",""
"ABAB ABAB ABAB ABAB ABAB 0017","1.19","1414999533828813","1","0","924.375","-48","3.5036121195308","200.7421875",""
"ABAB ABAB ABAB ABAB ABAB 3148","1.81","1414999533834263","1","0","924.375","-52.5","4.4976316700807","257.6953125",""
